rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note
161;Школа № 1883 «Бутово»;;Городская;школа;22;False;III степени;ЮЗАО;Южное Бутово;;3;;;;;;;;;;;;;;
162;Школа № 1944;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;
163;Школа № 1955;;Городская;школа;22;False;III степени;СВАО;Лосиноостровский;;3;;;;;;;;;;;;;;
164;Школа № 2005;;Городская;школа;22;False;III степени;СЗАО;Куркино;;3;;;;;;;;;;;;;;
165;Школа № 2006;;Городская;школа;22;False;III степени;ЮЗАО;Северное Бутово;;3;;;;;;;;;;;;;;
166;Школа № 2009;;Городская;школа;22;False;III степени;ЮЗАО;Южное Бутово;;3;;;;;;;;;;;;;;
167;Школа № 2010 им. М.П. Судакова;;Городская;школа;22;False;III степени;ЮВАО;Люблино;;3;;;;;;;;;;;;;;
168;Школа № 2025;;Городская;школа;22;False;III степени;ЗАО;Очаково-Матвеевское;;3;;;;;;;;;;;;;;
169;Школа № 2031;;Городская;школа;22;False;III степени;ВАО;Косино-Ухтомский;;3;;;;;;;;;;;;;;
170;Школа № 2033;;Городская;школа;22;False;III степени;ВАО;Северное Измайлово;;3;;;;;;;;;;;;;;
171;Школа № 2044 им. А.М. Серебрякова;;Городская;школа;22;False;III степени;СВАО;Северный;;3;;;;;;;;;;;;;;В источнике возможна опечатка в поле района (САО вместо СВАО).
172;Школа № 2045 им. Д.А. Разумовского;;Городская;школа;22;False;III степени;ЗелАО;Крюково;;3;;;;;;;;;;;;;;
173;Школа № 2051;;Городская;школа;22;False;III степени;ЮВАО;Некрасовка;;3;;;;;;;;;;;;;;
174;Школа № 2072;;Городская;школа;22;False;III степени;ВАО;Новогиреево;;3;;;;;;;;;;;;;;
175;Школа № 2087 «Открытие»;;Городская;школа;22;False;III степени;ЮВАО;Марьино;;3;;;;;;;;;;;;;;
176;Школа № 2097;;Городская;школа;22;False;III степени;СЗАО;Южное Тушино;;3;;;;;;;;;;;;;;
177;Школа № 2117;;Городская;школа;22;False;III степени;НАО;Щербинка;;3;;;;;;;;;;;;;;
178;Школа № 41 им. Г.А. Тарана;;Городская;школа;22;False;III степени;НАО;Внуково;;3;;;;;;;;;;;;;;
179;Школа № 625;;Городская;школа;22;False;III степени;ЮЗАО;Академический;;3;;;;;;;;;;;;;;
180;Школа № 627 им. Д.Д. Лелюшенко;;Городская;школа;22;False;III степени;ЦАО;Замоскворечье;;3;;;;;;;;;;;;;;
181;Школа № 641 им. Сергея Есенина;;Городская;школа;22;False;III степени;ЮВАО;Кузьминки;;3;;;;;;;;;;;;;;
182;Школа № 654 им. А.Д. Фридмана;;Городская;школа;22;False;III степени;ЮВАО;Текстильщики;;3;;;;;;;;;;;;;;
183;Школа № 667 им. К.Я. Самсонова;;Городская;школа;22;False;III степени;ЮАО;Бирюлёво Западное;;3;;;;;;;;;;;;;;
184;Школа № 7;;Городская;школа;22;False;III степени;ЮЗАО;Ломоносовский;;3;;;;;;;;;;;;;;
185;Школа № 777 им. Е.В. Михайлова;;Городская;школа;22;False;III степени;ЮВАО;Рязанский;;3;;;;;;;;;;;;;;
186;Школа № 814;;Городская;школа;22;False;III степени;ЗАО;Очаково-Матвеевское;;3;;;;;;;;;;;;;;
187;Школа № 827;;Городская;школа;22;False;III степени;СЗАО;Северное Тушино;;3;;;;;;;;;;;;;;
188;Школа № 853;;Городская;школа;22;False;III степени;ЗелАО;Старое Крюково;;3;;;;;;;;;;;;;;
189;Школа № 947;;Городская;школа;22;False;III степени;ЮАО;Бирюлёво Восточное;;3;;;;;;;;;;;;;;
190;Международная гимназия «Сколково»;;Частная;гимназия;20;False;;ЗАО;Можайский;ул. Зворыкина, д. 4;;28;;73;;;1643000;нет;да;;;международная гимназия ИЦ «Сколково», билингвальность;;https://sk.ru/;
191;Новая школа;;Частная;школа;19;False;;ЗАО;Раменки;Мосфильмовская ул., д. 88, стр. 5;;37;;92;;средняя;1070000-1420000;нет;нет;;;без звонков и формы, тьюторство с 5 кл., ИУП, экспедиции;;https://n.school/;
192;Школа «Столица-КИТ»;;Частная;школа;18;False;;Москва;—;Москва;;;;;30;;;нет;нет;;;;;;
193;Школа права и экономики;;Городская;школа;18;False;;;;;;31;;79;;;;;;;;;;;
194;Предуниверситарий МГЛУ;Предуниверситарий МГЛУ;Вузовская;школа;16;False;;ЦАО;Хамовники;ул. Остоженка, д. 36;;34;;88;;;;;;;;;;https://linguanet.ru/;
195;Школа № 1306 — «Школа молодых политиков»;ГАОУ города Москвы «Школа № 1306 — Школа молодых политиков»;Городская;школа;15;False;;ЗАО;Раменки;Мичуринский пр-т, д. 15, корп. 2;;35;;89;;;;;;;;;;https://gymg1306.mskobr.ru/;
196;Вешняковская школа;;Городская;школа;14;False;IV степени;ВАО;Вешняки;;4;;;;;;;;;;;;;;
197;Гимназия города Троицка;;Городская;гимназия;14;False;IV степени;ТАО;Троицк;;4;;;;;;;;;;;;;;
198;Гимназия им. Н.В. Пушкова;;Городская;гимназия;14;False;IV степени;ТАО;Троицк;;4;;;;;;;;;;;;;;
199;Измайловская школа № 1508;;Городская;школа;14;False;IV степени;ВАО;Измайлово;;4;;;;;;;;;;;;;;
200;Инженерно-техническая школа им. П.Р. Поповича;;Городская;школа;14;False;IV степени;САО;Аэропорт;;4;;;;;;;;;;;;;;
201;Лицей Президентской академии РАНХиГС;Лицей Президентской академии РАНХиГС;Вузовская;лицей;14;False;;ЗАО;Тропарёво-Никулино;пр-т Вернадского, д. 98;;36;;91;;;;;;;;;;https://ranepa-lyceum.ru/;
202;Лицей города Троицка;;Городская;лицей;14;False;IV степени;ТАО;Троицк;;4;;;;;;;;;;;;;;
203;Пушкинская школа № 1500;;Городская;школа;14;False;IV степени;ЦАО;Красносельский;;4;;;;;;;;;;;;;;
204;Школа «Технологии обучения»;;Городская;школа;14;False;IV степени;ЗАО;Дорогомилово;;4;;;;;;;;;;;;;;
205;Школа в Некрасовке;;Городская;школа;14;False;IV степени;ЮВАО;Некрасовка;;4;;;;;;;;;;;;;;
206;Школа им. В.В. Маяковского;;Городская;школа;14;False;IV степени;ЮВАО;Южнопортовый;;4;;;;;;;;;;;;;;
207;Школа № 1000;;Городская;школа;14;False;IV степени;ЗАО;Солнцево;;4;;;;;;;;;;;;;;
208;Школа № 1080;;Городская;школа;14;False;IV степени;ВАО;Преображенское;;4;;;;;;;;;;;;;;
209;Школа № 1191;;Городская;школа;14;False;IV степени;СЗАО;Митино;;4;;;;;;;;;;;;;;
210;Школа № 1245;;Городская;школа;14;False;IV степени;ЮАО;Чертаново Южное;;4;;;;;;;;;;;;;;
211;Школа № 1286;;Городская;школа;14;False;IV степени;СЗАО;Северное Тушино;;4;;;;;;;;;;;;;;
212;Школа № 1296;;Городская;школа;14;False;IV степени;САО;Восточное Дегунино;;4;;;;;;;;;;;;;;
213;Школа № 1324;;Городская;школа;14;False;IV степени;ВАО;Новогиреево;;4;;;;;;;;;;;;;;
214;Школа № 1375;;Городская;школа;14;False;IV степени;ЮАО;Нагатино-Садовники;;4;;;;;;;;;;;;;;
215;Школа № 1450 «Олимп»;;Городская;школа;14;False;IV степени;ЮАО;Нагорный;;4;;;;;;;;;;;;;;
216;Школа № 1466 им. Н. Рушевой;;Городская;школа;14;False;IV степени;ЮАО;Царицыно;;4;;;;;;;;;;;;;;
217;Школа № 1494;;Городская;школа;14;False;IV степени;СВАО;Марфино;;4;;;;;;;;;;;;;;
218;Школа № 1528 им. И.В. Панфилова;;Городская;школа;14;False;IV степени;ЗелАО;Старое Крюково;;4;;;;;;;;;;;;;;
219;Школа № 1539;;Городская;школа;14;False;IV степени;СВАО;Алексеевский;;4;;;;;;;;;;;;;;
220;Школа № 1552;;Городская;школа;14;False;IV степени;ЮАО;Зябликово;;4;;;;;;;;;;;;;;
221;Школа № 1553 им. В.И. Вернадского;;Городская;школа;14;False;IV степени;ЮАО;Даниловский;;4;;;;;;;;;;;;;;
222;Школа № 158;;Городская;школа;14;False;IV степени;САО;Левобережный;;4;;;;;;;;;;;;;;
223;Школа № 1583 им. К.А. Керимова;;Городская;школа;14;False;IV степени;САО;Головинский;;4;;;;;;;;;;;;;;
224;Школа № 1636 «НИКА»;;Городская;школа;14;False;IV степени;ЮАО;Орехово-Борисово Южное;;4;;;;;;;;;;;;;;
225;Школа № 1797 «Богородская»;;Городская;школа;14;False;IV степени;ВАО;Богородское;;4;;;;;;;;;;;;;;
226;Школа № 1799;;Городская;школа;14;False;IV степени;ЦАО;Якиманка;;4;;;;;;;;;;;;;;
227;Школа № 185 им. В.С. Гризодубовой;;Городская;школа;14;False;IV степени;САО;Коптево;;4;;;;;;;;;;;;;;
228;Школа № 1861 «Загорье»;;Городская;школа;14;False;IV степени;ЮАО;Бирюлёво Восточное;;4;;;;;;;;;;;;;;
229;Школа № 1900;;Городская;школа;14;False;IV степени;СЗАО;Митино;;4;;;;;;;;;;;;;;
230;Школа № 1948 «Лингвист-М»;;Городская;школа;14;False;IV степени;ЮЗАО;Черёмушки;;4;;;;;;;;;;;;;;
231;Школа № 1950;;Городская;школа;14;False;IV степени;ЦАО;Пресненский;;4;;;;;;;;;;;;;;
232;Школа № 199;;Городская;школа;14;False;IV степени;ЮЗАО;Академический;;4;;;;;;;;;;;;;;
233;Школа № 2065;;Городская;школа;14;False;IV степени;НАО;Филимонковский;;4;;;;;;;;;;;;;;
234;Школа № 2101;;Городская;школа;14;False;IV степени;ЗАО;Фили-Давыдково;;4;;;;;;;;;;;;;;
235;Школа № 2200;;Городская;школа;14;False;IV степени;ВАО;Северное Измайлово;;4;;;;;;;;;;;;;;
236;Школа № 507;;Городская;школа;14;False;IV степени;ЮАО;Нагатино-Садовники;;4;;;;;;;;;;;;;;
237;Школа № 544;;Городская;школа;14;False;IV степени;ЮАО;Орехово-Борисово Южное;;4;;;;;;;;;;;;;;
238;Школа № 547;;Городская;школа;14;False;IV степени;НАО;Коммунарка;;4;;;;;;;;;;;;;;
239;Школа № 597 «Новое поколение»;;Городская;школа;14;False;IV степени;САО;Ховрино;;4;;;;;;;;;;;;;;
240;Школа № 709 им. В.И. Долгих;;Городская;школа;14;False;IV степени;СВАО;Лосиноостровский;;4;;;;;;;;;;;;;;В источнике возможна опечатка в поле района (САО вместо СВАО).
241;Школа № 727;;Городская;школа;14;False;IV степени;СЗАО;Покровское-Стрешнево;;4;;;;;;;;;;;;;;
242;Школа № 771;;Городская;школа;14;False;IV степени;САО;Дмитровский;;4;;;;;;;;;;;;;;
243;Школа № 887;;Городская;школа;14;False;IV степени;ЗАО;Кунцево;;4;;;;;;;;;;;;;;
244;Школа № 924;;Городская;школа;14;False;IV степени;ЮАО;Чертаново Южное;;4;;;;;;;;;;;;;;
245;Средняя школа «Знайка»;;Городская;школа;11;False;;;;;;;16;;;;;;;;;;;;
246;Школа сотрудничества;;Городская;школа;10;False;;;;;;42;;;;;;;;;;;;;
247;Школа Газпромбанка;;Городская;школа;9;False;;;;;;43;;;;;;;;;;;;;
248;Brookes Moscow;;Частная;школа;8;False;;СВАО;Свиблово;Лазоревый пр-д, д. 7;;;;;;высокая;2160000-2656000;нет;да;;;полный цикл IB (PYP + MYP + DP), IB World Continuum School;;https://www.brookesmoscow.ru/;
249;Cambridge International School (CIS);;Частная;школа;8;False;;САО;Левобережный;"ул. Фестивальная, д. 7А; кампусы Сколково (пос. Заречье) и Горки";;;;;;высокая;3400000;нет;да;;;британская программа + российский аттестат, IGCSE / A-Level;;https://cis.ru/;
250;Британская международная школа (BIS);;Частная;школа;8;False;;Москва;—;6 зданий в Москве;;;;;;высокая;3700000;нет;да;;;английский с 2 лет, A-Level, двойной аттестат;;https://bismoscow.com/;
251;Международная школа Москвы (ISM);;Частная;школа;8;False;;ЗАО;Крылатское;"Крылатская ул., д. 12; кампус «Росинка», Красногорский р-н";;;;;;высокая;;нет;да;;;британская программа, IGCSE + A-Level, STEAM-партнёрство с MIT, 2–18 лет;;https://www.nordangliaeducation.com/ism-moscow;
252;Школа «Президент»;;Частная;школа;8;False;;МО;Одинцовский г.о.;д. Жуковка, Ильинский подъезд, д. 2, стр. 1;;;;;;высокая;1944000-2403000;нет;да;;;билингвальная среда, IB, бассейн 25 м, скидки за 2-го ребёнка;;https://school-president.ru/;
253;Школа № 315;;Городская;школа;8;False;;;;;;46;;;;;;;;;;;;;
254;Шуваловская школа № 1448;;Городская;школа;6;False;;;;;;;38;;;;;;;;;;;;
255;Heritage School;;Частная;школа;5;False;;ВАО;Сокольники;"кампус Сокольники; кампус «Ленинский»";;;;;;да;1520000-2470000;нет;да;;;британская + российская программы, подготовка в вузы UK/US/EU;;https://heritageschool.ru/;
256;Wunderpark International School;;Частная;школа;5;False;;МО;Истринский г.о.;д. Борзые, ул. Невская, д. 100А (23-й км Новорижского ш.);;;;;;да;1620000;нет;да;;;билингвальный комплекс, Edutainment, обучение на природе;;https://wunderpark.ru/;
257;Европейская гимназия;;Частная;гимназия;5;False;;ВАО;Сокольники;ул. Сокольнический Вал, д. 28;;;;;;средняя;855000-1170000;нет;да;;;две траектории: ФГОС/ЕГЭ и IB DP, работает с 1992 г.;;https://www.eurogym.ru/;
258;Инновационная школа «Сколка»;;Частная;школа;5;False;;ЗАО;Можайский;Большой б-р, д. 37 (ИЦ «Сколково»);;;;;;да;;нет;нет;;;школа при ИЦ «Сколково», проектный и предпринимательский подход;;https://skolca.ru/;
259;Ломоносовская школа-пансион № 5;;Частная;школа;5;False;;МО;Одинцовский г.о.;"ул. Советская, д. 50Б (Рублёвка); пансион — д. Тельманское";;;;;;да;1935000;да;нет;;;пансион 5- и 7-дневный, языковой уклон;;https://lomon.ru/;
260;Школа № 1520 имени Капцовых;;Городская;школа;3;False;;;;;;;48;;;;;;;;;;;;
261;Школа № 2054;;Городская;школа;3;False;;;;;;;49;;;;;;;;;;;;
262;Russian International School (RIS);;Частная;школа;0;False;;МО;Одинцовский г.о.;пос. Барвиха;;;;;;;2500000;нет;нет;;;двойной аттестат (российский + британский), помесячные модули;;https://rischool.ru/;
263;МГФСО;;Спортивная;школа;0;False;;ЦАО;Красносельский;Милютинский пер., д. 16, стр. 3 + объекты по всем округам;;;;;;;;нет;;нет;объединение спортшкол;40+ видов: гимнастика, плавание, прыжки в воду, водное поло, бокс, лёгкая атлетика, борьба, фехтование, велоспорт;;https://mgfso.mossport.ru/;
264;МКСШ «Зеленоград»;;Спортивная;школа;0;False;;ЗелАО;Крюково;г. Зеленоград, Озёрная аллея, д. 6;;;;;;;;нет;;нет;спортшкола (без статуса ОР);17 видов: волейбол, дзюдо, самбо, тхэквондо, футбол, гимнастика, плавание, лыжные гонки, теннис;;https://zelenograd.mossport.ru/;
265;МКСШОР «Восток»;;Спортивная;школа;0;False;;ЮВАО;Лефортово;Дворец борьбы им. И. Ярыгина, Авиамоторная ул., д. 40 + СК «Есенинский», «Курьяново», «Восточный»;;;;;;;;нет;;нет;СШОР;35+ видов: борьба, самбо, тхэквондо, бокс, дзюдо, шахматы, плавание, лёгкая атлетика, бейсбол;;https://vostok.mossport.ru/;
266;МКСШОР «Запад»;;Спортивная;школа;0;False;;ЗАО;Филёвский Парк;Большая Филёвская ул., д. 6 + 17 объектов;;;;;;;;нет;;нет;СШОР;бокс, водное поло, дзюдо, лёгкая атлетика, мотоспорт, плавание, самбо, стрельба из лука, фигурное катание, футбол;;https://zapad.mossport.ru/;
267;МКСШОР «Новая Москва»;;Спортивная;школа;0;False;;НАО;Щербинка;объекты в Щербинке и Троицке, 19 спортобъектов;;;;;;;;нет;;нет;СШОР;27+ видов: волейбол, футбол, бокс, плавание, фигурное катание, хоккей, баскетбол, гимнастика;;https://newmoscow.mossport.ru/;
268;МКСШОР «Север»;;Спортивная;школа;0;False;;САО;Савёловский;Вятская ул., д. 28 + 30 объектов;;;;;;;;нет;;нет;СШОР;18 видов: бокс, дзюдо, каратэ, лёгкая атлетика, плавание, самбо, гимнастика, фехтование, шахматы, пятиборье;;https://sever.mossport.ru/;
269;МКСШОР «Юг»;;Спортивная;школа;0;False;;ЮАО;Донской;Хавская ул., д. 24, корп. 2 + 14 комплексов;;;;;;;;нет;;нет;СШОР;бейсбол, бокс, водное поло, дзюдо, каратэ, плавание, прыжки на батуте, самбо, тхэквондо, футбол;;https://yug.mossport.ru/;
270;Московская академия зимних видов спорта;;Спортивная;школа;0;False;;ЦАО;Таганский;Новорогожская ул., д. 25, стр. 4 + 8 комплексов;;;;;;;;нет;;нет;академия по виду спорта;бобслей и скелетон, кёрлинг, санный спорт, шорт-трек;;https://mwsa.mossport.ru/;
271;Московская академия плавания;;Спортивная;школа;0;False;;Москва;—;31 бассейн по всем округам;;;;;;;;нет;;нет;академия по виду спорта;плавание;;https://msa.mossport.ru/;
272;Московская академия современного пятиборья;;Спортивная;школа;0;False;;СВАО;Северный;9-я Северная линия, д. 1Б;;;;;;;;нет;;нет;академия по виду спорта;современное пятиборье, стрельба из лука, плавание, фехтование, триатлон;;https://mamp.mossport.ru/;
273;Московская академия фигурного катания на коньках;;Спортивная;школа;0;False;;ЮЗАО;Ясенево;"Новоясеневский пр-т, д. 26 (Центр Этери Тутберидзе); ЛД «Хрустальный», Профсоюзная ул., д. 97, корп. 1";;;;;;;;нет;;нет;академия по виду спорта;фигурное катание;;https://mmpa.mossport.ru/;
274;Московская академия хоккея;;Спортивная;школа;0;False;;ЮАО;Зябликово;Ореховый б-р, д. 18, корп. 2 + 15 спортшкол;;;;;;;;нет;;нет;академия по виду спорта;хоккей (муж./жен.), хоккей с мячом, следж-хоккей;;https://mha.mossport.ru/;
275;Московская баскетбольная академия;;Спортивная;школа;0;False;;ЮАО;Донской;Загородное ш., д. 2А + 10 подразделений;;;;;;;;нет;;нет;академия по виду спорта;баскетбол;;https://mba.mossport.ru/;
276;Московская теннисная академия;;Спортивная;школа;0;False;;ЗАО;Проспект Вернадского;"ул. Удальцова, д. 54; Чоботовская ул., д. 4, корп. 1";;;;;;;;нет;;нет;академия по виду спорта;теннис, ОФП;;https://mta.mossport.ru/;
277;Московская футбольная академия;;Спортивная;школа;0;False;;ЦАО;Красносельский;Верхняя Красносельская ул., д. 7А;;;;;;;;нет;;нет;академия по виду спорта;футбол: большой, женский, мини-футбол, пляжный;;https://mfa.mossport.ru/;
278;Московский центр боевых искусств;;Спортивная;школа;0;False;;ЮАО;Чертаново Центральное;Варшавское ш., д. 118, корп. 1;;;;;;;;нет;;нет;спортшкола;тхэквондо, дзюдо, каратэ, бокс, самбо, ММА, джиу-джитсу, рукопашный бой, капоэйра;;https://mcbi.mossport.ru/;
279;Московское училище олимпийского резерва (МУОР);;Спортивная;школа;0;False;;ЗАО;Фили-Давыдково;"Малая Филёвская ул., д. 34, корп. 2 + 16-я Парковая, 17; Ткацкая, 24 и 27";;;;;;;;нет;;нет;училище (СПО, после 9 класса);25+ видов: бокс, велоспорт, волейбол, гандбол, дзюдо, лёгкая атлетика, плавание, гимнастика, теннис, фехтование, футбол;;https://muor.mossport.ru/;
280;СШОР «Москвич»;;Спортивная;школа;0;False;;ЮВАО;Текстильщики;Волгоградский пр-т, д. 46/15, стр. 3;;;;;;;;нет;;нет;СШОР;бейсбол, софтбол, футбол, лёгкая атлетика, стрельба, плавание, бильярд, паралимпийские дисциплины;;https://moskvich.mossport.ru/;
281;Спортивный интернат «Чертаново»;;Спортивная;школа;0;False;;ЮАО;Чертаново Центральное;Чертановская ул., д. 7, корп. 3 + площадки Борисовские Пруды, Капотня;;;;;;;;да;;да;школа со спортуклоном;футбол (профиль), спортивная борьба, фитнес;;https://chertanovo.mossport.ru/;
282;ФСО «Юность Москвы»;;Спортивная;школа;0;False;;САО;Беговой;Ленинградский пр-т, д. 31А, стр. 1 + 109 спортобъектов;;;;;;;;нет;;нет;объединение спортшкол;24 олимпийских + 7 неолимпийских + 4 адаптивных вида, 35 спортшкол в составе;;https://yum.mossport.ru/;
283;ЦОиС «Москва-98»;;Спортивная;школа;0;False;;ЗАО;Проспект Вернадского;ул. Удальцова, д. 40 + ул. Лобачевского, д. 92;;;;;;;;нет;;да;школа со спортуклоном;волейбол, плавание, синхронное плавание, спортивная борьба, художественная гимнастика;;https://moscow98.mossport.ru/;
284;ЦСиО «МЭШ» (Московская экспериментальная школа);;Спортивная;школа;0;False;;ЮЗАО;Зюзино;Херсонская ул., д. 30, корп. 2, стр. 1;;;;;;;;нет;;да;школа со спортуклоном;ушу, каратэ, эстетическая гимнастика, ОФП;;https://mesh.mossport.ru/;
285;ЦСиО «Самбо-70»;;Спортивная;школа;0;False;;ЮЗАО;Коньково;ул. Академика Виноградова, д. 4Б + отделения Шаболовка, Гагаринский, Ясенево, Севастопольский;;;;;;;;нет;;да;школа со спортуклоном;самбо, дзюдо, киокусинкай, сумо, художественная гимнастика, спортивные танцы, плавание, футбол;;https://sambo70.mossport.ru/;
286;Центр образования и спорта «Локомотив»;;Спортивная;школа;0;False;;ВАО;Богородское;район Большая Черкизовская (адрес требует подтверждения);;;;;;;;нет;;да;школа со спортуклоном;футбол (при ФК «Локомотив»);;https://fclm.mskobr.ru/;
287;Школа «Наследник»;;Частная;школа;0;False;;Москва;—;несколько кампусов в Москве;;;;;;;1620000;нет;нет;;;английский с носителями до C1, 1–11 кл.;;https://nasledniki.ru/;
