dev_id;developer;otkrytost;sayt;katalog;filtry;planirovki;primer;proverennye_proekty;primechanie;provereno;zhk_v_prodazhe_v_baze
renaissance-development;Renaissance Development (СТ Тауэрс);открыто;https://www.nevatowers.ru/;https://www.nevatowers.ru/en/apartments;да;нет;Neva Towers: апартамент №10 (башня T2, 3 этаж) 54,9 м² — 49 959 000 ₽ (скидка -30% от 71 370 000 ₽);Neva Towers (Нева Тауэрс);На странице открыто показаны 6 апартаментов и 4 пентхауса с ценами, площадью и сортировкой по цене/площади, без регистрации.;23.09.2026;1
touch;Touch;открыто;https://touch-development.ru/;https://champine.ru/flats/parametric/;да;нет;Champine: 4-спальная №189 (корп.3, эт.7) 129,8 м² — 76,0 млн руб. по акции (было 90,21 млн);Champine;"На touch-development.ru каталога нет, ссылка ведёт на champine.ru - там открытый список лотов (10 квартир) с ценой/площадью/спальнями/отделкой без регистрации; Дом Горизонтов отдельно не проверялся";23.09.2026;1
touch-development;Touch Development;открыто;https://touch-development.ru/;https://champine.ru/flats/parametric/;да;нет;Champine: 4-спальная №189 (корп.3, эт.7) 129,8 м² — 76,0 млн руб. по акции (было 90,21 млн);Champine;"На touch-development.ru каталога нет, ссылка ведёт на champine.ru - там открытый список лотов (10 квартир) с ценой/площадью/спальнями/отделкой без регистрации; Дом Горизонтов отдельно не проверялся";23.09.2026;1
uniq-development;UNIQ Development;открыто;https://springs.house/;https://springs.house/flats;да;да;Springs: 2-комн. 65 м² (кв. №107, 10 этаж) — 76 570 000 ₽ (1 178 000 ₽/м², с отделкой);Springs;Полноценный каталог лотов с ценами, площадью и фильтрами (комнатность/цена/площадь/этаж/вид) доступен без регистрации на /flats.;23.09.2026;1
ao-sz-sbersiti;АО СЗ СберСити (Рублёво-Архангельское);открыто;https://sbercity.ru/;https://sbercity.ru/property/flats;да;да;"СберСити: 2-комн. 83,5 м², квартал В17 — 49,40 млн (591 600 ₽/м², без отделки); 1-комн. 47,5 м², квартал В14 — 41,29 млн";СберСити в Рублёво-Архангельском;"Проверено в браузере 23.09.2026 (через WebFetch — пустая JS-оболочка/500): sbercity.ru/property/flats — «Выбор по параметрам», 131 квартира, карточки с комнатностью, площадью, ценой и ценой м², кварталом, отделкой и планировкой; фильтры («Настроить параметры»), подборки (квартиры с ключами, увеличенные потолки и др.). Список грузится 5–10 с.";23.09.2026;1
absolyut-nedvizhimost;Абсолют Недвижимость;открыто;https://luzhniki-collection.ru/;https://luzhniki-collection.ru/flats;да;да;Коллекция Лужники: дом Highline 2, кв. 24, 1 спальня, 49,8 м², 5/17 эт., без отделки — 79,09 млн (1,59 млн/м²);Коллекция Лужники (Luzhniki Collection), Резиденции Сколково;"Проверено в браузере 23.09.2026 (через WebFetch был 400): luzhniki-collection.ru/flats — список лотов с домом, этажом, №, спальнями, отделкой, видом, сроком ключей, ценой и ценой м²; фильтр, выбор на генплане и «по планировкам». Резиденции Сколково — отдельного сайта не нашёл (проект «строится», в продаже не проверялся).";23.09.2026;1
absolyut-premium;Абсолют Премиум;открыто;https://luzhniki-collection.ru/;https://luzhniki-collection.ru/flats;да;да;Коллекция Лужники: дом Highline 2, кв. 24, 1 спальня, 49,8 м², 5/17 эт., без отделки — 79,09 млн (1,59 млн/м²);Коллекция Лужники (Luzhniki Collection), Резиденции Сколково;"Проверено в браузере 23.09.2026 (через WebFetch был 400): luzhniki-collection.ru/flats — список лотов с домом, этажом, №, спальнями, отделкой, видом, сроком ключей, ценой и ценой м²; фильтр, выбор на генплане и «по планировкам». Резиденции Сколково — отдельного сайта не нашёл (проект «строится», в продаже не проверялся).";23.09.2026;1
aeon-development;Аеон Девелопмент;открыто;https://aeondevelopment.ru/;https://riverpark-kutuzovskiy.ru/flats/#/list;да;да;"Ривер Парк Кутузовский: башня Лазурь, кв. №14, студия 36,3 м², 3 эт., без отделки — 29,71 млн; Ривер Парк (Коломенское): корп. 12, помещение №12, 35,5 м² — 14,28 млн";Ривер Парк Кутузовский (River Park Towers), Ривер Парк;Проверено в браузере 23.09.2026: riverpark-kutuzovskiy.ru/flats/ — список лотов (башня, отделка, этаж, №, спальни, площадь, цена), фильтры по башне/отделке/сроку/спальням/площади/стоимости/этажу/видам, колонка «Планировка», есть панорамный выбор. river-park.ru/lots/table/ (Ривер Парк Коломенское, готовый квартал) — 289 лотов с площадью, ценой и ценой м², карточки объектов. aeondevelopment.ru — корпоративный сайт без каталога.;23.09.2026;1
baltiyskaya-stroitelnaya-kompaniya;Балтийская строительная компания;открыто;https://arbatstars.ru/;https://arbatstars.ru/param/;да;да;Звезды Арбата: апартамент №607, 1 спальня, 106,7 м², 6 эт., без отделки — 101,37 млн;Звезды Арбата;"Проверено в браузере 23.09.2026 (у WebFetch /param/ зацикливался): arbatstars.ru/param/ — 21 апартамент с номером, отделкой, ценой, площадью, этажом, спальнями, статусом (в резерве/продан); фильтр, выбор на плане, раздел «Редкие форматы», планировки. На странице «Участники проекта» — комплекс возведён «Балтийской строительной компанией» (БСК-Санкт-Петербург). Это апартаменты.";23.09.2026;1
gk-strana-development;ГК Страна Девелопмент;открыто;https://strana.com/msk/;https://strana.com/msk/flats/;да;да;Ридж: 1-комн. 40,03 м², ГП-1, секция 1, 2 эт. — 22 480 000 ₽ (без скидки 26 138 500 ₽);Ридж, Аурус Резиденции;"Каталог квартир strana.com/msk/flats с фильтрами (проект, комнаты, цена, акции); карточки сгруппированы по планировкам («N квартир на разных этажах»), у лотов цена, цена до скидки, площадь, корпус, секция, этаж, планировка. Московские проекты: Ридж, Аурус, Republic, Страна.Озёрная, Заречная, Парковая, WOW. Сайт по умолчанию открывает Тюмень (/tmn/), московский раздел — /msk/.";23.09.2026;1
gk-summa-elementov;ГК Сумма элементов;открыто;https://theelement.ru;https://flats.theelement.ru/;да;да;Новая, 11: 1-комн. 39,66 м², 4 эт., без отделки — 32 844 343 ₽;Новая, 11, Тессинский, 5, Дом Дау;"Element (СПб/Москва): общий выборщик flats.theelement.ru (фиды синхронизируются, 403 лота по 8 проектам, из Москвы — «Новая, 11» и «Тессинский, 5») с ценой, ценой за м², площадью, этажом, корпусом, отделкой, планировкой; фильтры по городу/проекту/комнатам/цене/площади. Дом Дау в выборщике нет — по novostroev это ГК «Сумма элементов» (другая компания; в базе ELEMENT смешан с ней), domdau.ru — квиз-лендинг без цен.";23.09.2026;1
gk-tochno;ГК ТОЧНО;открыто;https://tochno.life/;https://tochno.life/moskva/kvartiri/?id_complex=1650;да;да;"ЮТУ (U2): 2-комн. кв. №270, 57 м², 2 эт. — 32,97 млн; 1-комн. кв. №269, 28,1 м², 2 эт. — 20,15 млн";U2 (ЮТУ);"Проверено в браузере 23.09.2026 (страница грузится JS-ом 3–5 с): tochno.life/moskva/utu/kvartiri/ — «от 20 150 000 ₽», 94 предложения; tochno.life/moskva/kvartiri/?id_complex=1650 — список квартир с номером, ценой, площадью и этажом, фильтры (цена, комнаты, год заселения), вид плиткой/списком с планировками. Регистрация не нужна.";23.09.2026;1
gruppa-samolet;Группа Самолет;открыто;https://samolet.ru;https://samolet.ru/flats/;да;да;Верейская 41: 1-комн. 34,31 м², корп. 2.1, 8 эт. — 19 552 031 ₽ (зачёркнутая 23 556 663 ₽);Верейская 41, Заречье Парк, Квартал на воде;"Общий выборщик samolet.ru/flats (6000+ свободных лотов по всем проектам) с фильтрами по проекту/комнатам/цене/отделке/сроку; у лота площадь, этаж, корпус, срок сдачи, отделка, планировка и поэтажный план. У всех лотов показаны две цены — текущая и зачёркнутая «старая» (разница ~17%). «У Поклонной горы» на сайте нет (по novostroev — продажи не начаты).";23.09.2026;1
konsol;Консоль;открыто;https://a-22.ru/;https://a-22.ru/kvartiry/;да;нет;А22: 1-комн. №271, 50 м², эт. 31/34 — 35 050 000 руб.;А22;Каталог с фильтрами по секции/комнатности/площади/цене/этажу, конкретные лоты с номером квартиры без регистрации (a22.moscow отдавал 403);23.09.2026;1
krost-nedvizhimost;Крост Недвижимость;открыто;https://krost.ru;https://krost.ru/flats/;да;да;Театральный квартал: 2-комн. 57,1 м², Дом «Жолтовский», 10 эт. — 38 828 000 ₽;Театральный квартал, Wellton SPA Residence, Wellton Towers, Высотка на Жукова, Дом «Малевич», Трилогия «Кристалл»;"Каталог квартир krost.ru/flats (430 лотов по 8 проектам, в т.ч. СПб «Невский Плаза») с ценой, старой ценой при скидке, площадью, этажом, корпусом, планировками; фильтры по проекту/комнатам/цене. Главная страница в браузере тяжёлая (подвисает), но данные каталога доступны. Wellton Gold в каталоге и в списке проектов отсутствует; Wellton Towers — 2 лота.";23.09.2026;1
mssz-aeon;МССЗ / AEON;открыто;https://aeondevelopment.ru/;https://riverpark-kutuzovskiy.ru/flats/#/list;да;да;"Ривер Парк Кутузовский: башня Лазурь, кв. №14, студия 36,3 м², 3 эт., без отделки — 29,71 млн; Ривер Парк (Коломенское): корп. 12, помещение №12, 35,5 м² — 14,28 млн";Ривер Парк Кутузовский (River Park Towers), Ривер Парк;Проверено в браузере 23.09.2026: riverpark-kutuzovskiy.ru/flats/ — список лотов (башня, отделка, этаж, №, спальни, площадь, цена), фильтры по башне/отделке/сроку/спальням/площади/стоимости/этажу/видам, колонка «Планировка», есть панорамный выбор. river-park.ru/lots/table/ (Ривер Парк Коломенское, готовый квартал) — 289 лотов с площадью, ценой и ценой м², карточки объектов. aeondevelopment.ru — корпоративный сайт без каталога.;23.09.2026;1
neostroy;Неострой;открыто;https://turgenev-dom.ru/;https://turgenev-dom.ru/select/params;да;да;"Turgenev: тип 2, 1 спальня, 76,4 м², 2 эт. — 175,07 млн (2,29 млн/м²); тип 3, 2 спальни, 124,8 м², 6 эт. — 326,95 млн";Turgenev (Клубный дом Тургенев);"Проверено в браузере 23.09.2026 (через WebFetch — только JS-каркас): turgenev-dom.ru/select/params — выбор по параметрам (спальни, этаж, площадь, камин/терраса/двухуровневые/спец.цена), у лотов тип, площадь, этаж, стоимость м² и лота, экспликация и планировка («Скачать планировку»); есть и подбор по фасаду. Часть лотов (двухуровневые пентхаусы, напр. Р07-04+Р07-05, 292 м²) — «по запросу». Дом готов.";23.09.2026;1
rks-development;РКС Девелопмент;открыто;https://insiderhome.ru/;https://insiderhome.ru/apartments;да;нет;Insider: студия 34,7 м² — 18 083 192 руб. (скидка 22%);Insider;359 лотов в каталоге, фильтры по комнатности/корпусу/цене/этажу, конкретные цены без регистрации;23.09.2026;1
sz-zhk-yarkiy-riga;СЗ ЖК Яркий. Рига;открыто;https://rigahills.ru/;https://rigahills.ru/flats;да;нет;Riga Hills: студия 31,28 м² (кв. №443, корпус 1) — 10 378 978 ₽ (со скидкой 8 142 955 ₽);Riga Hills;Полный каталог лотов с ценами (включая скидки), площадью и фильтрами (комнатность/цена/площадь/срок сдачи/корпус/этаж/отделка) доступен без регистрации.;23.09.2026;1
sz-lsr-obekt-m;СЗ ЛСР. Объект-М (Группа ЛСР);открыто;https://www.lsr.ru/msk/;https://www.lsr.ru/msk/kvartiry-v-novostroikah/;да;да;Обручева 30: студия 24,7 м², корп. 1-2, 45 эт. — 18 257 153 ₽ по акции (базовая цена 20 429 789 ₽);Обручева 30, Вейв, Парксайд, Ленинградка 58, Лё Дом (le-dome.ru), Шаболовка, 34;"Общий выборщик ЛСР Москва (1869 квартир в ЛУЧИ, Дмитровское небо, Парксайд, Вейв, ЗИЛАРТ, Обручева 30) с фильтрами по комнатности/цене/сроку/отделке; у каждой квартиры площадь, цена, этаж, корпус, срок, отделка, планировка, PDF. У лотов «Акция» в списке — спеццена, на карточке — и «Базовая цена». Ленинградка 58 — «Квартир нет в продаже». Лё Дом продаётся через отдельный сайт le-dome.ru без цен (по запросу). Шаболовка, 34 на сайте нет (анонс).";23.09.2026;1
sz-stadion-spartak;СЗ Стадион Спартак;открыто;https://primavera.moscow/;https://primavera.moscow/search;да;нет;Primavera: 1-спальная №736 (кв. Беллини, стр.7, эт.2/13) 51,7 м² — 34 866 480 руб.;Клубный город на реке Primavera;Полнофункциональный каталог с фильтрами по корпусу/спальням/площади/цене/этажу, конкретные лоты без регистрации;23.09.2026;1
sreda;Среда;открыто;https://sreda.ru/;https://sreda.ru/flats/sreda-na-lobachevskogo;да;нет;Среда на Лобачевского: студия 25,9 м² (корп. 5.6, секц. 2, эт. 2/13) — 15 854 218 руб.;Среда на Лобачевского;"82 квартиры в каталоге, диапазон площадей 22-124 м², цены 15,85-68,47 млн руб., без регистрации; с 01.08.2026 проекты переходят под управление девелопера FORMA";23.09.2026;1
tekta-grupp;ТЕКТА ГРУПП;открыто;https://tekta.ru;https://tekta.ru/search;да;;Эра: студия 26,9 м² (9 эт., без отделки) — 21,08 млн;Twelve (Твелв), Эра (Era), Ever (Эвер);"tekta.com редиректит на tekta.ru; общий поиск — таблица лотов с проектом, этажом, комнатностью, площадью и ценой; планировки в выдаче инструментом не подтверждены";23.09.2026;1
uez;УЭЗ;открыто;https://mosrealstroy.ru;https://dom-shelepiha.ru/apartments/;да;;Шелепиха: 1-комн. 24,3 м², башня А, 16/36 эт. — 19 119 591 ₽ (без скидки 22 232 083 ₽, скидка 14%);Шелепиха;"mosrealstroy.ru — карточки ЖК с ценой «от … ₽/м²» (Шелепиха от 476 000, Инноватор от 492 200, Интеллигент от 484 700 ₽/м²) и ссылками на сайты проектов. На сайте Шелепихи (dom-shelepiha.ru/apartments) — выборщик: 75 квартир с ценой, ценой до скидки, ценой за м², площадью, башней, этажом; фильтры по спальням, башне, этажу, цене, площади. Сайты Инноватора и Интеллигента не открывал. Планировки в списке не проверял.";23.09.2026;1
energostroyinvest;Энергостройинвест;открыто;https://self-kvartal.ru/;https://self-kvartal.ru/apartments/list;да;нет;СЕЛФ: 2-комн. 54,7 м² (кв. №410, корпус 2с3, 7 этаж) — 24 963 021 ₽ (по акции 21 967 458 ₽);СЕЛФ (парковый квартал);Полный каталог с ценами, площадью, номерами квартир и фильтрами (корпус/комнаты/этаж/цена) доступен без регистрации на /apartments/list.;23.09.2026;1
rose-group;ROSE GROUP;открыто;https://hilkov5.ru/;https://hilkov5.ru/;да;да;Хилков: 2-спальни 119 м² (лот №235784) — 230 000 000 ₽;Хилков;Каталог лотов с ценами, площадью, фильтрами (комнатность/цена/площадь) и планировками доступен без регистрации.;23.09.2026;0
upside-development;Upside Development;частично;https://upside.ru;https://enigmiya.ru/search;да;да;Энигмия: 1 спальня 59,7 м², корп. 1, 2 эт. — 81 156 180 ₽;Энигмия, Золотые Крылья;upside.ru — корпоративный сайт без цен со ссылками на сайты проектов. Энигмия (enigmiya.ru/search) — подбор по параметрам: 37 лотов с ценой, площадью, корпусом, этажом, числом спален. Золотые Крылья (golden-w.ru/plans) — выборщик по корпусам/этажам с планировками, но цены у всех лотов пустые (только «Заказать звонок»). Итог — «частично»: цены открыты только у части проектов. Upside Towers не проверял.;23.09.2026;3
glavstroy-moskva;Главстрой Москва;частично;https://glavstroy.ru;https://beregovoy-kvartal.ru/flats;да;да;"Баланс: 1 спальня 30,3 м², корп. 3, 6 эт. — 16 576 455 ₽ (без скидки 19 053 397 ₽); Береговой: 1 спальня 43,4 м², корп. 10 — 28 271 287 ₽ (29 759 249 ₽)";Береговой, Баланс, Новые Академики, M54;Корпоративный glavstroy.ru — без цен, только карточки проектов со ссылками на сайты проектов. На сайтах Берегового (beregovoy-kvartal.ru, 125 лотов) и Баланса (get-balance.ru, 192 лота) открытые выборщики с ценой, скидкой, площадью, корпусом, этажом, планировкой и фильтрами. Новые Академики — отдельного сайта нет, на glavstroy.ru цен нет, на novostroev «Цена по запросу». M54 — проектирование. «Кутузовский пр-т, 36» на сайте нет. Итог — «частично»: цены открыты только у части проектов.;23.09.2026;3
guta-development;ГУТА-Девелопмент;частично;https://gutadevelopment.ru/;https://www.redoctober-dom.ru/;нет;да;Красный Октябрь: корпус А, квартира 103,64 м², 4 эт. — цена не указана (кнопка «Выбрать этот лот» → заявка);Красный Октябрь, Малая Ордынка 14;"Проверено в браузере 23.09.2026: gutadevelopment.ru — корпоративный сайт, ведёт на redoctober.moscow, там заглушка «Сайт на реконструкции» с кнопкой «Перейти к резиденциям» → redoctober-dom.ru. На redoctober-dom.ru — блок «Планировочные решения»: 8 конкретных лотов (корпус, площадь, этаж, виды, планировка) БЕЗ цен, у каждого «Выбрать этот лот» / «Оставить заявку»; каталога и фильтров нет, цен нигде нет. По правилу «лоты без цен» → «частично»; фактически цену дают только по заявке. Малая Ордынка ";23.09.2026;2
glavstroy;Главстрой;частично;https://glavstroy.ru;https://beregovoy-kvartal.ru/flats;да;да;"Баланс: 1 спальня 30,3 м², корп. 3, 6 эт. — 16 576 455 ₽ (без скидки 19 053 397 ₽); Береговой: 1 спальня 43,4 м², корп. 10 — 28 271 287 ₽ (29 759 249 ₽)";Береговой, Баланс, Новые Академики, M54;Корпоративный glavstroy.ru — без цен, только карточки проектов со ссылками на сайты проектов. На сайтах Берегового (beregovoy-kvartal.ru, 125 лотов) и Баланса (get-balance.ru, 192 лота) открытые выборщики с ценой, скидкой, площадью, корпусом, этажом, планировкой и фильтрами. Новые Академики — отдельного сайта нет, на glavstroy.ru цен нет, на novostroev «Цена по запросу». M54 — проектирование. «Кутузовский пр-т, 36» на сайте нет. Итог — «частично»: цены открыты только у части проектов.;23.09.2026;2
grad-development;Град Девелопмент;частично;https://ice-towers.ru/;https://ice-towers.ru/;да;да;ICE Towers: 1-комн. 34,9 м² — 31 198 855 ₽;Айс Тауэрс (ICE Towers), Aurum Time (Аурум Тайм);"Раздел «Выбор квартир» с фильтрами по комнатности/цене/площади, ссылки на планировки, конкретные цены видны без регистрации. | Реальный домен проекта — aurum-time-grad.ru (aurum-time.ru отдаёт 403). Есть базовые фильтры по типу и планировки, но только минимальные площади без цен; цены только по консультации/звонку.";23.09.2026;2
transstroyinvest;Трансстройинвест;частично;https://frankshouse.ru/;https://frankshouse.ru/flat/param/;да;да;"ОМ (zk-om.ru): корп. 1, кв. №144, 1-комн. 42,9 м², 21 эт. — 24,14 млн; Дом Франка: кв. №3, 2Е, 71,4 м², 2 эт. — цена не указана";Дом Франка, ОМ;Проверено в браузере 23.09.2026. Официальный сайт Дома Франка — frankshouse.ru (в подвале «Застройщик: Трансстройинвест»): выбор квартир по параметрам и на плане, 21 лот с корпусом/этажом/площадью и планировкой, но БЕЗ цен — только «Забронировать» (форма). dom-franka.com (был в списке) — брокерский лендинг с пометкой «не является официальным сайтом застройщика», цены только через форму «Узнать цены». ОМ: zk-om.ru (застройщик «СЗ Доходный дом») — «Последние квартиры», 3 лота с ценами (от 24,14 до;23.09.2026;2
3s-group;3S Group;частично;https://3s.group/;https://voicetowers.ru/;нет;нет;Voice: студии от 13,3 млн руб., 1-комн. от 17,3 млн руб. (только диапазоны по типам);Voice;"Только сводные ""цена от"" по типам квартир и средняя цена за м², конкретные лоты - через форму ""Получить актуальные цены и скрытые лоты""";23.09.2026;1
ant-development;ANT Development;частично;https://vp.moscow/;https://vp.moscow/;да;нет;;Виктори Парк Резиденсез (Victory Park Residences);"Есть раздел «Выбор квартир» (на генплане/по параметрам) и типы лотов, но видна только цена «от» по проекту (от 124 505 000 ₽), конкретных цен лотов не увидено; /flats — 404.";23.09.2026;1
asterus;Asterus;частично;https://alia.moscow/;https://alia.moscow/flats/;да;нет;"Alia: ""от 12 млн руб."" (башня Панорама), точные цены по 176 лотам не отображаются статически";Alia;"Есть только общая ""цена от"", фильтры по комнатности/готовности/типу присутствуют, но конкретные цены лотов подгружаются через JS-каталог";23.09.2026;1
optima-development;Optima Development;частично;https://primepark.ru/;https://primepark.ru/;да;да;2-комн. 95,8 м² — цена не указана (на странице только 'от 700 000 ₽/м²');Прайм Парк (Prime Park);Есть раздел «Выбрать квартиру» (по параметрам/визуально), 80 планировок, но цены конкретных лотов не видны в статике — только цена за м².;23.09.2026;1
prime-life-development;Prime Life Development;частично;https://1-ng.ru/;https://1-ng.ru/;да;да;1-й Нагатинский: студия от 29 м² — от 27 583 626 ₽ (12 единиц, корпус 1.2);1-й Нагатинский (Первый Нагатинский);Реальный сайт проекта — 1-ng.ru (primelifedevelopment.ru — только промо со ссылкой на 1-ng.ru). Каталог по корпусам/очередям с фильтрами и планировками, но цены даны как «от» по типу/корпусу, не по каждому конкретному лоту.;23.09.2026;1
vesta-development;VESTA Development;частично;https://imperium.moscow/;https://imperium.moscow/podbor-kvartiry/;да;да;Империум: №1, 1 спальня, 78,2 м², 2 этаж — цена по запросу;Империум (IMPERIUM);На /podbor-kvartiry/ показаны 18 конкретных пронумерованных лотов с площадью/этажом/спальнями и фильтрами (номер/тип/площадь/этаж/спальни/стоимость), но цена везде помечена «по запросу» — ни одной суммы не показано.;23.09.2026;1
gk-balchug-development;ГК Балчуг Девелопмент;частично;https://sadovnicheskaya69.ru/;https://sadovnicheskaya69.ru/kvartiry/;да;нет;;Садовническая 69;Есть фильтруемый каталог (корпус/спальни/площадь/этаж, сортировка по цене), но у лотов вместо цены кнопка «Запросить цену» — цены не показаны.;23.09.2026;1
zareche-development;Заречье-девелопмент;частично;https://www.park-skolkovo.ru/;https://www.park-skolkovo.ru/;нет;да;Сколково Парк: 4-комн. 141 м² (9/9 этаж, с отделкой) — 145 000 000 ₽;Сколково Парк;"Показаны лишь 1-2 конкретных примера (похоже, вторичные лоты) и диапазон «от 95,4 млн ₽»; полноценного фильтруемого каталога нет, большинство цен скрыто за формой заявки.";23.09.2026;1
sz-siyanie;СЗ Сияние;частично;https://33krilatskaya.ru/;;нет;нет;Студии от 29 м² — от 22 153 600 ₽;Крылатская 33;Показаны только диапазоны цен по типам, конкретные лоты и планировки скрыты за формой заявки.;23.09.2026;1
sz-smolenskiy-bulvar;СЗ Смоленский бульвар;частично;https://levshinskiy19.ru/;https://levshinskiy19.ru/;да;да;Левшинский 19: лот №1, 3-комн., 147 м², 2 эт., вид Б. Левшинский/двор — цена не указана;Левшинский 19 (Your MAJESTY);"Проверено в браузере 23.09.2026. Официальный сайт — levshinskiy19.ru (в подвале «Застройщик: ООО СЗ „Смоленский бульвар“», офис продаж Смоленский бульвар, 10). Раздел «Резиденции» — JS-выборщик с фильтром по этажу/комнатам/площади; в браузерной панели визуально не отрисовался, но его источник данных /data/lots.json открыт: 16 лотов (все available) с этажом, комнатами, площадью, видом, планировкой (svg) и PDF — поля цены нет вообще. Цены только через звонок/буклет. bolshoylevshinsky19.ru — «Сайт ";23.09.2026;1
talan;Талан;частично;https://talan.ru/msk;https://injoy.ru/flats;да;нет;INJOY: 1-комн. группа (2 кв.) от 25,9 м² от 19 936 689 руб.;INJOY;"Цены даны как ""от"" для групп одинаковых квартир (по площади/комнатности), без номера конкретного лота/этажа - это скорее прайс по типам, чем полноценный поштучный каталог";23.09.2026;1
aurix-development;Aurix Development;по запросу;https://omega-residences.ru/;;нет;нет;;Omega Residence (Омега Резиденс);"Только общий диапазон площадей (65-246 м²), стоимость помечена «ПО ЗАПРОСУ»; фильтров и конкретных лотов нет.";23.09.2026;4
foresight-development;Foresight Development;по запросу;https://foresight-development.ru/;;нет;нет;;Дом Соболева;"На dom-soboleva.ru указаны только типы/диапазоны площадей по комнатности (напр. 1-комн. 11 лотов 80-120 м²), кнопки ""узнать стоимость"" ведут на форму заявки - конкретных цен на сайте нет";23.09.2026;3
vesper;Vesper;по запросу;https://www.vespermoscow.com;https://realty.vespermoscow.com/;;;Левенсон: квартиры 131–495,9 м² — «цена по запросу»;Левенсон (Levenson), Vesper Погодинская;"На странице Левенсона явно «цена по запросу», на Погодинской цен нет вовсе (только диапазон площадей); выборщик realty.vespermoscow.com через инструмент пустой (JS) — содержимое не проверено";23.09.2026;3
ziggurat-development;Ziggurat Development;по запросу;https://ziggurat.moscow/;;нет;нет;;Зиккурат Преображенский;"Показаны только типы планировок с площадью ""от"" (студии от 35 м² и т.д.), кнопка ""Узнать цены"" ведёт на форму записи/получения презентации; VERNISSAGE отдельно не проверялся";23.09.2026;2
oniks-development;Оникс-Девелопмент;по запросу;https://demidov-usadba.ru/;;нет;да;;Усадьба Демидова;"Показаны 9 типов планировок (виллы 238-328 м², резиденции 228-278 м²) с разбивкой по этажам, но вместо цены везде кнопка ""запросить предложение""; Демидов 26 отдельно не проверялся";23.09.2026;2
apsis-globe;Apsis Globe;по запросу;https://apsisglobe.ru/;;нет;нет;;СИТИМИКС;"На главном сайте компании нет каталога квартир, только контакты отдела продаж; отдельный сайт проекта СИТИМИКС не проверялся отдельно";23.09.2026;1
bms-development;BMS Development;по запросу;https://phenomen-goroda.com/;;нет;нет;;Феномен города;"Цены, планировки и сроки ""уточняются и предоставляются по запросу"", есть только форма ""Подберём квартиру""";23.09.2026;1
gbk-group;GBK GROUP;по запросу;https://labellemaison.ru/;;нет;нет;;LA BELLE MAISON;"Раздел «Планировки» в меню есть, но конкретные лоты/цены на сайте не показаны; форма «Записаться на просмотр» или звонок.";23.09.2026;1
gravion;GRAVION;по запросу;https://gravion.ru/;;нет;нет;;CULT (Клубный дом Культ);"Промо-страница проекта без каталога квартир; только контактные номера и форма заявки.";23.09.2026;1
glorax;GloraX;по запросу;https://glorax.com/glorax-premium-belorusskaya;https://glorax.com/glorax-premium-belorusskaya;да;нет;;Глоракс Премиум Белорусская;"Фильтр подбора апартаментов (комнатность/площадь/цена) есть, но не выдаёт лотов («0 апартаментов»); сайт прямо предлагает звонок/заявку для деталей.";23.09.2026;1
granard;Granard;по запросу;https://granard.ru/;;нет;нет;;Гранд Фили;"На granard.ru нет каталога, только контакты/телеграм-бот; отдельный сайт проекта grandfili.moscow отдал 403 через инструмент";23.09.2026;1
legenda-intelligent-development;LEGENDA Intelligent Development;по запросу;https://legenda-dom.ru/;;нет;нет;;Северный порт. Береговые кварталы;"На legenda-dom.ru и legenda-sevport.ru показаны только диапазоны цен/площадей и типы планировок без привязки к конкретным лотам; итоговая цена и подбор - через отдел продаж; severniy-port.ru отдал 403";23.09.2026;1
magnum-development;Magnum Development;по запросу;https://magnum-company.ru/;https://magnum-solo.ru/apartments/;да;да;Магнум Соло: кв. №1, 2-комн., 97,1 м², 1 эт., свободна — «Стоимость по запросу»;Магнум Соло (Magnum Solo);Проверено в браузере 23.09.2026. Официальный сайт проекта — magnum-solo.ru (ссылка «Перейти на сайт проекта» с сайта застройщика magnum-company.ru / Magnum Development). Выбор квартир: таблица всех 24 лотов (№, этаж, комнаты, площадь) с фильтром по комнатам/этажу, у лота карточка с планировкой и PDF — но у всех лотов «Стоимость по запросу». magnumsolo.ru (был в списке, 403 у WebFetch) — брокерский лендинг («не является официальным сайтом застройщика», «Узнать цены» = форма). магнум-соло.рф — дом;23.09.2026;1
palladio-group;PALLADIO Group;по запросу;https://palladio.group/;https://annabels.ru/;нет;нет;Annabel's: резиденция с патио на 1 этаже, 82 м² — цена не указана;Annabel's (1913);"Проверено в браузере 23.09.2026. Корпоративный сайт palladio.group → «сайт проекта» annabels.palladiogroup.ru → официальный annabels.ru («Palladio Group – официальный сайт», дом готов, 9 квартир). В разделе «Уникальные квартиры» — 4 формата по этажам (резиденция с патио 82 м², квартиры 2–4 эт., с террасой 5 эт., двухуровневый пентхаус 6–7 эт.) без цен и без каталога лотов; связь — звонок/Telegram/WhatsApp. annabels.moscow — брокерский лендинг («не является официальным сайтом застройщика», «Узнат";23.09.2026;1
struktura-development;Struktura Development;по запросу;https://zhivopisnaya27.zhk.center/;;нет;нет;;Живописная, 27;"Лендинг ""скоро старт продаж"", нет каталога и цен, только форма заявки";23.09.2026;1
sun-development;Sun Development;по запросу;http://sundevelopment.ru/;;нет;нет;;Monodom Lake (Монодом Лэйк);"Только общий диапазон площадей (26–119,6 м²) и число лотов (238); цены и подбор — по звонку/заявке. Есть упоминание отдельного сайта monodom-lake.ru, не проверен.";23.09.2026;1
