name;developer;class_final;class_declared;class_disputed;price_check;okrug;district;address;lat;lon;geo_precision;type;units_total;parking;stage;deadline;price_from_m2;penthouses;penthouse_flag;website;sources
МОМЕНТС;Forma (ПИК);бизнес;бизнес;;;СЗАО;Покровское-Стрешнево;3-й Красногорский проезд;55.81385;37.48113;адрес;квартиры;1656;476;строится;1 кв. 2027;539000;да;да;;novostroev.ru/novostroyki/moskva/szao/shchukino/moments/, coords approx
Ракурс;DAR (Дар Девелопмент);бизнес;бизнес;;;СЗАО;Щукино;ул. Маршала Бирюзова, 1;55.80008;37.47684;адрес;квартиры;915;;строится;2 кв. 2026 (к.1), 1 кв. 2028 (к.2-4);457400;;;;novostroev.ru/novostroyki/moskva/szao/shchukino/rakurs-rakurs/, mskguru.ru/novostroyki/5136-zhk-rakurs, coords approx
Интонация;ГК Мангазея;бизнес;бизнес;;;СЗАО;Щукино;ул. Щукинская, 7;55.80759;37.47952;адрес;квартиры;;186;сдан, есть остатки;сдан;507800;;;;novostroev.ru/novostroyki/moskva/szao/shchukino/intonatsiya/, coords approx
Живописная, 27;Struktura Development;бизнес;не заявлен;;;СЗАО;Щукино;ул. Живописная, 27;55.79887;37.45004;адрес;квартиры;;;анонс;;;;;;novostroev.ru/novostroyki/moskva/szao/shchukino/zhivopisnaya-27/, продажи не начаты, coords approx
Строгино 360;ПИК;бизнес;бизнес;;;СЗАО;Строгино;ул. Маршала Прошлякова, 12 / ул. Маршала Воробьева, 12;55.79025;37.39242;адрес;квартиры;436;169;строится;4 кв. 2028 (к.1.1), 2 кв. 2029 (к.1.2);379000;;;;novostroev.ru/novostroyki/moskva/szao/strogino/strogino-360/, coords approx
Сити Бэй (City Bay);MR Group;премиум;бизнес / премиум;да;цена не бьётся с классом;СЗАО;Покровское-Стрешнево;Волоколамское шоссе, 95-97;55.82957;37.40435;адрес;квартиры;;710;строится;2 кв. 2027;344800;да;да;;novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/city-bay/, coords approx
Ситизен (CityZen);MR Group;бизнес;бизнес;;;СЗАО;Покровское-Стрешнево;ул. Вишневая;55.81800;37.45500;квартал (каталог);квартиры;1574;594;старт продаж;3 кв. 2027;410900;;;;novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/cityzen/, coords approx
АЛИА;Asterus;премиум;бизнес / премиум;да;;СЗАО;Покровское-Стрешнево;ул. Лётная, 95Б;55.82347;37.41579;адрес;квартиры;;;строится;2 кв. 2028;501700;да;да;;novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/alia/, coords approx
Скай Гарден (Sky Garden);ГК ФСК;бизнес;бизнес;;;СЗАО;Покровское-Стрешнево;Строительный проезд, 9;55.83658;37.42190;адрес;квартиры;2975;798;строится;3 кв. 2025 (к.1), 2 кв. 2027 (к.2-3);350200;;;;novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/sky-garden/, coords approx
Level Стрешнево;Level Group;бизнес;бизнес;;;СЗАО;Покровское-Стрешнево;Волоколамское шоссе, 81;55.82655;37.41524;адрес;квартиры;747;970;сдан, есть остатки;сдан;273800;;;;novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/level-streshnevo/, coords approx
U2 (ЮТУ);ГК ТОЧНО;бизнес;бизнес;;;СЗАО;Южное Тушино;ул. Лодочная, 27;55.83692;37.46239;адрес;квартиры;996;198;строится;1 кв. 2028;422700;;;;novostroev.ru/novostroyki/moskva/szao/yuzhnoe-tushino/u2/, coords approx
Level Свободы;Level Group;бизнес;не заявлен;;;СЗАО;Северное Тушино;ул. Свободы, 35;55.84124;37.45252;адрес;квартиры;;;анонс;;;;;;novostroev.ru/novostroyki/moskva/szao/severnoe-tushino/, продажи не начаты, coords approx
Level Причальный;Level Group;премиум;премиум (novostroev), в фильтре бизнес;да;;СЗАО;Хорошёво-Мнёвники;Причальный проезд;55.76065;37.51797;адрес;квартиры;;;сдан, есть остатки;сдан;656800;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/level-prichalnyy/, класс спорный, coords approx
ЗИЛАРТ;Группа ЛСР;бизнес;бизнес;;;ЮАО;Даниловский;ул. Автозаводская, вл. 23;55.69692;37.65748;адрес;квартиры;;12500;строится;4 кв. 2027;596000;;;;mskguru.ru/novostroyki/795-zhk-zilart | novostroev.ru/novostroyki/moskva/uao/biznes-class/ | irn.ru/novostroyki/moskva/danilovskijj/ (координаты approx)
МАРК;Группа ЛСР;бизнес;бизнес;;;ЮАО;Даниловский;ул. Автозаводская (ЗИЛ);55.70259;37.63062;адрес;квартиры;844;211;строится;2 кв. 2028;564000;;;;mskguru.ru/novostroyki/5202-zhk-mark | novostroev.ru/novostroyki/moskva/uao/biznes-class/ (координаты approx)
Shagal (Шагал);Группа Эталон;бизнес;бизнес (mskguru) / комфорт (novostroev);да;;ЮАО;Даниловский;наб. Марка Шагала (ЗИЛ-Юг);55.69988;37.63060;адрес;квартиры;;;строится;4 кв. 2026 - 2028;555000;;;;mskguru.ru/novostroyki/1371-zhk-zil-jug | novostroev.ru/novostroyki/moskva/uao/biznes-class/
Нагатино Ай-Лэнд;Группа Эталон;бизнес;бизнес;;;ЮАО;Даниловский;ул. Автозаводская, 23/184;55.69692;37.65748;адрес;квартиры;;1500;строится;2 кв. 2027;425100;;;;mskguru.ru/novostroyki/1262-zhk-central-park-tsentral-park | novostroev.ru/novostroyki/moskva/uao/biznes-class/ (координаты approx)
А22;Консоль;бизнес;бизнес;;;ЮАО;Даниловский;ул. Автозаводская, 22;55.70556;37.63540;адрес;квартиры;907;276;строится;4 кв. 2028;451700;;;;mskguru.ru/novostroyki/5167-zhk-a22 | novostroev.ru/novostroyki/moskva/uao/biznes-class/
Level Павелецкая Сити;Level Group / MR Group;бизнес;бизнес;;;ЮАО;Даниловский;ул. Дубининская, 59-69;55.71911;37.63480;адрес;квартиры;3252;1411;строится;4 кв. 2027;537900;;;;mskguru.ru/novostroyki/1436-zhk-dubininskaja-59-69 | novostroev.ru/novostroyki/moskva/uao/biznes-class/
АУРА (Мангазея на Тульской);ООО Мангазея;премиум;бизнес / премиум;да;;ЮАО;Даниловский;Тульская эстакада;55.70447;37.61773;адрес;квартиры;916;563;строится;2028;609000;да;да;;mskguru.ru/novostroyki/5084-zhk-mangazeya-na-tulyskojj | irn.ru/novostroyki/moskva/danilovskijj/
Инсайдер (Insider);РКС Девелопмент;бизнес;бизнес;;;ЮАО;Даниловский;ул. Автозаводская, 24;55.70554;37.63403;адрес;апартаменты;909;228;строится;3 кв. 2026;433000;;;;mskguru.ru/novostroyki/4889-apartamentyy-insajjder | novostroev.ru/novostroyki/moskva/uao/biznes-class/
ПЕЙВ (PAVE);Forma;премиум;бизнес (mskguru) / премиум (novostroev);да;;ЮАО;Даниловский;2-й Павелецкий пр-д, 4/6;55.71335;37.64327;адрес;квартиры;848;504;строится;4 кв. 2028;532800;;;;mskguru.ru/novostroyki/5150-zhk-pave | novostroev.ru/novostroyki/moskva/uao/biznes-class/
THE LOT by Akvilon;Группа Аквилон;премиум;бизнес (mskguru) / премиум (novostroev);да;;ЮАО;Даниловский;Жуков проезд;55.72284;37.63940;адрес;квартиры;516;69;строится;3 кв. 2029;586500;да;да;;mskguru.ru/novostroyki/5217-zhk-the-lot-by-akvilon | novostroev.ru/novostroyki/moskva/uao/biznes-class/
Five Towers;СЗ 5 Донской;элитный;бизнес (novostroev) / элит (mskguru) / премиум;да;цена не бьётся с классом;ЮАО;Донской;5-й Донской пр-д, 21;55.70083;37.59384;адрес;квартиры;596;188;строится;3 кв. 2026;558000;да;да;;mskguru.ru/novostroyki/1016-zhk-neskuchnyj-home-spa | novostroev.ru/novostroyki/moskva/start-prodazh/
LIFE-Варшавская;ГК Пионер;бизнес;бизнес;;;ЮАО;Москворечье-Сабурово;1-й Котляковский пер., 2А;55.65391;37.63388;адрес;квартиры;;2095;строится;4 кв. 2026;472900;;;;mskguru.ru/novostroyki/1217-zhk-life-varshavskaja-lajf-varshavskaja | novostroev.ru/novostroyki/moskva/uao/biznes-class/
Ривер Парк;МССЗ / AEON;бизнес;бизнес;;;ЮАО;Нагатинский Затон;ул. Речников;55.68171;37.69386;адрес;квартиры;;2500;строится;2026;328000;;;;mskguru.ru/novostroyki/654-river-park (координаты approx)
TopHILLS;Ingrad;бизнес;бизнес;;;ЮАО;Нагорный;ул. Ремизова;55.67713;37.59880;адрес;квартиры;1208;;сдан, есть остатки;сдан;441200;;;;mskguru.ru/novostroyki/1424-zhk-highland | novostroev.ru/novostroyki/moskva/uao/biznes-class/
Twelve (Твелв);TEKTA GROUP;бизнес;бизнес;;;ЮАО;Нагорный;Электролитный пр-д, 12;55.67329;37.61886;адрес;квартиры;934;372;сдан, есть остатки;сдан;441600;;;;mskguru.ru/novostroyki/4971-zhk-twelve | novostroev.ru/novostroyki/moskva/uao/biznes-class/
Rotterdam;ГК ФСК;бизнес;бизнес;;;ЮАО;Нагатино-Садовники;Варшавское ш., 37а/1;55.68730;37.62589;адрес;квартиры;803;286;сдан, есть остатки;сдан;437000;;;;mskguru.ru/novostroyki/4826-zhk-rotterdam | novostroev.ru/novostroyki/moskva/uao/biznes-class/
WOW;Страна Девелопмент;бизнес;бизнес;;;ЮАО;Даниловский;пр-т Андропова, 23;55.67831;37.66501;адрес;квартиры;668;399;сдан, есть остатки;сдан;474600;;;;mskguru.ru/novostroyki/4854-zhk-andropova-23 | novostroev.ru/novostroyki/moskva/uao/biznes-class/ (координаты approx)
Символ;Донстрой;бизнес;бизнес;;;ЮВАО;Лефортово;ул. Золоторожский Вал, 11;55.75166;37.68688;адрес;квартиры;4000;10000;строится;2 кв. 2029;502000;;;https://simvol-kvartal.ru/;mskguru.ru/novostroyki/775-zhk-simvol | novostroev.ru/novostroyki/moskva/uvao/lefortovo/simvol/
баланс (balance);Главстрой;бизнес;бизнес;;;ЮВАО;Рязанский;Рязанский пр-т, вл. 26;55.71908;37.76800;адрес;квартиры;3905;799;строится;1 кв. 2027;341000;;;;mskguru.ru/novostroyki/1218-zhk-balans | novostroy-m.ru/baza/jk_balans
ПОРТЛЕНД (Portland);Forma;премиум;бизнес (mskguru) / премиум (novostroev);да;;ЮВАО;Печатники;ул. Южнопортовая, 42;55.69253;37.71464;адрес;квартиры;1554;174;строится;1 кв. 2028;437000;;;;mskguru.ru/novostroyki/4907-zhk-portland | novostroev.ru/novostroyki/moskva/uvao/biznes-class/ (parking: только наземные)
УЛЬТИМА Сити (Ultima City);ГК КОРТРОС;бизнес;бизнес;;;ЮВАО;Печатники;ул. Южнопортовая, 23;55.69494;37.71502;адрес;квартиры;1079;490;строится;3 кв. 2028;361400;;;;mskguru.ru/novostroyki/5182-zhk-narvin | novostroev.ru/novostroyki/moskva/uvao/pechatniki/ultimasity/
Адмирал;Галс Девелопмент;премиум;бизнес (novostroev) / премиум;да;;ЮВАО;Печатники;ул. Шоссейная (Южный порт);55.67464;37.72253;адрес;квартиры;4715;1955;строится;3 кв. 2028;505000;;;;novostroev.ru/novostroyki/moskva/uvao/pechatniki/admiral/
Графика на воде (Квартал на воде);ГК Самолёт;бизнес;бизнес (mskguru) / комфорт (novostroev);да;;ЮВАО;Печатники;ул. Шоссейная, вл. 90;55.66686;37.70462;адрес;квартиры;;;строится;4 кв. 2028;314300;;;;mskguru.ru/novostroyki/4940-zhk-grafika-na-vode | novostroev.ru/novostroyki/moskva/uvao/biznes-class/
Дубровка от Гранель (MYPRIORITY Dubrovka);ГК Гранель;бизнес;бизнес;;;ЮВАО;Южнопортовый;ул. Шарикоподшипниковская, 11;55.71958;37.67613;адрес;квартиры;932;211;строится;3 кв. 2028;410300;;;;mskguru.ru/novostroyki/4705-zhk-mypriority-dubrovka | novostroev.ru/novostroyki/moskva/uvao/biznes-class/
Нижегородская от Гранель (MYPRIORITY Нижегородская);ГК Гранель;бизнес;бизнес;;;ЮВАО;Нижегородский;ул. Газгольдерная, вл. 10А;55.72714;37.73593;адрес;квартиры;874;304;строится;3 кв. 2028;410900;;;;mskguru.ru/novostroyki/5197-zhk-mypriority-nizhegorodskaya | novostroev.ru/novostroyki/moskva/uvao/biznes-class/
Аквилон BESIDE 2.0;Группа Аквилон;бизнес;бизнес;;;ЮВАО;Нижегородский;Рязанский пр-т, 2;55.71385;37.80340;адрес (расходится с каталогом >3 км — проверить);квартиры;1106;216;строится;2 кв. 2027;369900;;;;mskguru.ru/novostroyki/5097-zhk-akvilon-beside-2 | novostroev.ru/novostroyki/moskva/uvao/biznes-class/
Voice (Войс);3S Group;бизнес;бизнес;;;ЮВАО;Текстильщики;1-й Грайвороновский пер.;55.72000;37.72800;квартал (каталог);квартиры;1075;308;строится;4 кв. 2027;326300;;;;mskguru.ru/novostroyki/5099-zhk-voice | novostroev.ru/novostroyki/moskva/uvao/biznes-class/ (координаты approx)
Симоновский вал;ГК ФСК;бизнес;бизнес (novostroev-карточка) / люкс (каталог);;;ЮВАО;Южнопортовый;ул. Новоостаповская, вл. 6а;55.71815;37.66798;адрес;квартиры;260;249;старт продаж;2 кв. 2030;455300;;;;novostroev.ru/novostroyki/moskva/uvao/yuzhnoportovyy-rayon/simonovskiy-val/
Метрополия;MR Group;бизнес;бизнес;;;ЮВАО;Южнопортовый;Волгоградский пр-т, 32;55.72193;37.69515;адрес;квартиры;3544;1888;сдан, есть остатки;сдан;460000;;;;mskguru.ru/novostroyki/1244-zhk-metropolija | novostroev.ru/novostroyki/moskva/uvao/biznes-class/ (координаты approx)
Champine;Touch Development;бизнес;бизнес;;;ЮВАО;Южнопортовый;ул. Сосинская, 43;55.72605;37.67935;адрес;квартиры;244;169;сдан, есть остатки;сдан;443600;;;;mskguru.ru/novostroyki/4920-zhk-champine | novostroev.ru/novostroyki/moskva/uvao/biznes-class/
СТОУН Грэйн (STONE Grain);Stone;бизнес;бизнес+;;;ЮЗАО;Обручевский;Старокалужское ш., 64с1;55.66072;37.53435;адрес;квартиры;618;270;строится;4 кв. 2028;538200;да;да;https://stone.ru/residential/grain;stone.ru/residential/grain | novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/stone-grain/
ТАТУМ (Обручева 27);Forma;бизнес;бизнес;;;ЮЗАО;Обручевский;ул. Обручева, 27;55.65693;37.53605;адрес;квартиры;796;397;старт продаж;1 кв. 2029;499400;;;;novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/obrucheva-27/ | metrium.ru/news/detail/itogi-i-kvartala-2026-goda-na-pervichnom-rynke-biznesklassa-moskvy/
Обручева 30;Группа ЛСР;бизнес;бизнес;;;ЮЗАО;Коньково;ул. Обручева, 30;55.65618;37.52859;адрес;квартиры;1805;542;строится;4 кв. 2026;450900;;;;mskguru.ru/novostroyki/5040-zhk-obrucheva-30 | novostroev.ru/novostroyki/moskva/uzao/biznes-class/
Наметкин Тауэр;ГК Основа;бизнес;бизнес;;;ЮЗАО;Черёмушки;ул. Наметкина, 10с6;55.66211;37.55319;адрес;апартаменты;2071;670;строится;2 кв. 2026;322000;;;;mskguru.ru/novostroyki/1392-zhk-nametkina-10 | novostroev.ru/novostroyki/moskva/uzao/biznes-class/
Новые Академики;Главстрой Москва;элитный;премиум (novostroev) / элит (mskguru) / премиум;да;цена не бьётся с классом;ЮЗАО;Котловка;ул. Кржижановского, 31;55.67347;37.57929;адрес;квартиры;784;475;строится;4 кв. 2027;419800;;;;mskguru.ru/novostroyki/4995-zhk-novyye-akademiki | novostroev.ru/novostroyki/moskva/uzao/start-prodazh/
Level Академическая;Level Group;премиум;бизнес (mskguru) / премиум (novostroev);да;;ЮЗАО;Академический;ул. Профсоюзная, 2/22;55.68748;37.57226;адрес (OSM, уточнено 21.09);квартиры;295;83;сдан, есть остатки;сдан;533600;;;;mskguru.ru/novostroyki/4908-zhk-level-akademicheskaya | novostroev.ru/novostroyki/moskva/uzao/biznes-class/
СТОУН Сокольники (STONE Sokolniki);Stone;бизнес;бизнес+;;;ВАО;Сокольники;ул. Гастелло;55.78342;37.69628;адрес;квартиры;763;398;строится;4 кв. 2027;516000;;;https://stone.ru/residential/sokolniki;mskguru.ru/novostroyki/5224-zhk-stone-sokolniki | novostroev.ru/novostroyki/moskva/vao/biznes-class/
Солос (Solos);Dar Development;бизнес;бизнес;;;ВАО;Сокольники;ул. Сокольнический Вал, вл. 2А;55.79315;37.65560;адрес;квартиры;1243;457;строится;1 кв. 2029;401800;да;да;;mskguru.ru/novostroyki/5180-zhk-solos | novostroev.ru/novostroyki/moskva/vao/biznes-class/
КОД Сокольники;СЗ Сокольники (Новая эра);бизнес;бизнес;;;ВАО;Сокольники;ул. Шумкина;55.78723;37.67084;адрес;квартиры;807;328;строится;4 кв. 2029;521800;да;да;;mskguru.ru/novostroyki/5221-zhk-kod-sokolyniki | novostroev.ru/novostroyki/moskva/vao/biznes-class/ (координаты approx)
ЭВОПАРК Сокольники (EVOPARK);ГК Основа;бизнес;бизнес;;;ВАО;Преображенское;Потешная ул.;55.79915;37.70327;адрес;апартаменты;555;106;строится;2 кв. 2026;351000;;;;mskguru.ru/novostroyki/5143-apartamentyy-evopark-sokolyniki | novostroev.ru/novostroyki/moskva/vao/biznes-class/ (координаты approx)
Преображенская площадь;Regions Development;элитный;бизнес / премиум (Метриум), элит (kvadroom);да;цена не бьётся с классом;ВАО;Преображенское;1-я ул. Бухвостова, 12/11;55.79813;37.71371;адрес;квартиры;603;384;строится;2 кв. 2027;422400;;;;mskguru.ru/novostroyki/4864-zhk-preobrazhenskaya-ploshhady | novostroev.ru/novostroyki/moskva/vao/biznes-class/
Зиккурат Преображенский;Ziggurat Development;бизнес;бизнес;;;ВАО;Преображенское;ул. Большая Черкизовская, 4;55.79583;37.71792;адрес;квартиры;88;34;старт продаж;3 кв. 2028;;;;;novostroev.ru/novostroyki/moskva/vao/preobrazhenskoe/bolshaya-cherkizovskaya-4/
Sokolinn Park;Группа Эталон;бизнес;бизнес;;;ВАО;Богородское;3-я Гражданская ул., вл. 1;55.81398;37.70414;адрес;квартиры;211;67;строится;2 кв. 2028;415900;;;;novostroev.ru/novostroyki/moskva/vao/bogorodskoe/grazhdanskaya/ | mskguru.ru/novostroyki/5130-sokolinn-park
Назаре;ООО Мангазея;бизнес;бизнес;;;ВАО;Богородское;Открытое ш., 9;55.81606;37.73633;адрес;квартиры;1833;747;строится;2 кв. 2028;481000;;;;mskguru.ru/novostroyki/5035-mangazeya-v-bogorodskom | novostroev.ru/novostroyki/moskva/vao/biznes-class/
Лосиноостровский парк;ПИК;бизнес;бизнес;;;ВАО;Метрогородок;Открытое ш., 18;55.81678;37.74402;адрес;квартиры;2491;;строится;2028;350000;;;;mskguru.ru/novostroyki/4780-zhk-otkryytoe-18 | mskguru.ru/rayon/vao
УНО. Соколиная гора (UNO);ГК Основа;бизнес;бизнес;;;ВАО;Соколиная Гора;8-я ул. Соколиной Горы, вл. 26а;55.76925;37.74216;адрес;квартиры;642;129;строится;2 кв. 2027;435000;;;;mskguru.ru/novostroyki/5149-zhk-uno-sokolinaya-gora | novostroev.ru/novostroyki/moskva/vao/biznes-class/
ЭВОПАРК Измайлово (EVOPARK);ГК Основа;бизнес;бизнес;;;ВАО;Перово;Электродная ул.;55.75213;37.75304;адрес;апартаменты;289;49;строится;3 кв. 2026;329400;;;;mskguru.ru/novostroyki/5123-apartamentyy-evopark-izmajjlovo | novostroev.ru/novostroyki/moskva/vao/biznes-class/ (координаты approx)
Плеханова, 11;ПИК;бизнес;бизнес;;;ВАО;Перово;ул. Плеханова, 11;55.75205;37.76766;адрес;квартиры;1509;256;строится;3 кв. 2026;400000;;;;mskguru.ru/novostroyki/4495-zhk-plekhanova-11- | novostroev.ru/novostroyki/moskva/vao/biznes-class/
2-й Иртышский;ПИК;бизнес;бизнес;;;ВАО;Гольяново;2-й Иртышский пр-д;55.81154;37.75920;адрес;квартиры;693;166;строится;3 кв. 2028;279500;;;;mskguru.ru/novostroyki/5077-zhk-2jj-irtyyshevskijj | novostroev.ru/novostroyki/moskva/vao/biznes-class/
Примавера (Primavera);СЗ Стадион Спартак;премиум;премиум;;;СЗАО;Покровское-Стрешнево;квартал Россини, Волоколамское шоссе;55.82410;37.42148;адрес;квартиры;;;строится, есть сданные;2028;644500;;;;kvadroom.ru, realty.vbr.ru, coords approx
Дрим Рива (Dream Riva);Regions Development;элитный;премиум (Метриум), элит (kvadroom);да;цена не бьётся с классом;ЮАО;Нагатинский Затон;Проектируемый проезд № 4062;55.75990;37.46951;адрес (расходится с каталогом >3 км — проверить);квартиры;790;363;строится;4 кв. 2027;565600;;;;novostroev.ru, kvadroom.ru, Метриум, coords approx
Союз;Группа Родина;премиум;премиум;;;СВАО;Ростокино;ул. Сельскохозяйственная;55.85178;37.62519;адрес;квартиры;133;;строится, есть сданные;2026;605200;да;да;;kvadroom.ru, Метриум, coords approx
Начало;Донстрой;премиум;премиум;;;ЦАО;Пресненский;ул. Сергея Макеева, 7;55.75915;37.54877;адрес;квартиры;962;897;строится;2030;925200;;;;kvadroom.ru, cian.ru, coords approx
Тейт (Tate);ГК КОРТРОС;премиум;премиум;;;СВАО;Марьина Роща;ул. Веткина, вл. 2;55.80457;37.62083;адрес;квартиры;1104;545;строится;2027;513700;да;да;;kvadroom.ru, coords approx
Хай Лайф (High Life);ГК Пионер;премиум;премиум;;;ЮАО;Даниловский;Летниковская ул., 11к1;55.72624;37.64499;адрес;квартиры;;;строится, есть сданные;2027;656000;да;да;;kvadroom.ru, realty.vbr.ru, coords approx
Крылатская 33;СЗ Сияние;премиум;премиум;;;ЗАО;Крылатское;ул. Крылатская, з/у 33/1;55.76980;37.40748;адрес;квартиры;755;271;строится;2027;580000;;;33krilatskaya.ru;kvadroom.ru, Метриум, coords approx
Коллекция Лужники (Luzhniki Collection);Абсолют Премиум;элитный;премиум / элитный;да;;ЦАО;Хамовники;Новолужнецкий проезд;55.71800;37.55900;квартал (каталог);квартиры+апартаменты;;;строится;2027;1412100;;;;kvadroom.ru, novostroev.ru, coords approx
Родина Парк;Группа Родина;премиум;премиум;;;ЗАО;Можайский;ул. Толбухина;55.72298;37.39718;адрес;квартиры;;;строится, есть сданные;2028;651600;;;;kvadroom.ru, novostroev.ru, coords approx
Дом 56;Галс-Девелопмент;премиум;премиум;;;ЦАО;Басманный;ул. Фридриха Энгельса, 56;55.77223;37.68244;адрес;квартиры;510;209;строится;2026;647500;;;;kvadroom.ru, coords approx
Мира;MR Group;премиум;премиум;;;СВАО;Алексеевский;проспект Мира;55.80825;37.63502;адрес;квартиры;762;;строится;2027;636900;;;;kvadroom.ru, coords approx
Дом 7 Даниловский;COLDY;премиум;премиум;;;ЮАО;Даниловский;район метро Тульская;55.70866;37.62209;адрес;квартиры;207;;строится;2027;957000;5;да;;kvadroom.ru
Д'оро Миле (D'oro Mille);Элита-Эко / ГК Имена;элитный;премиум / элитный;да;;ЗАО;Дорогомилово;1-й Можайский тупик;55.74410;37.55747;адрес;апартаменты;156;;строится;2026;1050000;6;да;;kvadroom.ru, anwin.ru, coords approx
Дом Дау;ГК Сумма элементов;премиум;премиум;;;ЦАО;Пресненский;1-й Красногвардейский проезд, Москва-Сити;55.74976;37.53385;адрес;квартиры;;;строится;2027;922500;;;;kvadroom.ru, coords approx
Мастерс (Masters);Capital Group;премиум;премиум;;;САО;Хорошёвский;ул. Викторенко, 16;55.79527;37.52304;адрес;квартиры;672;363;строится, новый старт 2026;2029;582100;;;;kvadroom.ru, Метриум, coords approx
Серебряный Бор (квартал);ST Michael;премиум;премиум;;;СЗАО;Хорошёво-Мнёвники;ул. Берзарина, 37;55.78907;37.47195;адрес;квартиры;;;строится;2027;727700;да;да;;kvadroom.ru, realty.vbr.ru, coords approx
Хайдаут (Hideout);Dominanta;премиум;премиум;;;ЗАО;Раменки;3-й Сетуньский проезд;55.73213;37.53418;адрес;квартиры;665;557;строится;2 кв. 2028;690000;да;да;;kvadroom.ru, coords approx
Фантом (Phantom);Sense Development;элитный;премиум / элитный;да;;ЦАО;Мещанский;район метро Сухаревская;55.77141;37.63720;адрес;квартиры;105;;строится;2027;1650000;;;;kvadroom.ru, coords approx
Ривер Парк Кутузовский (River Park Towers);Аеон Девелопмент;премиум;премиум;;;ЗАО;Дорогомилово;первая линия набережной Москвы-реки, метро Фили;55.75586;37.50902;адрес;квартиры;;1134;строится;2027;800000;;;;kvadroom.ru, realty.vbr.ru, coords approx
Лайф Тайм (Life Time);Sminex;премиум;премиум;;;ЦАО;Пресненский;ул. Сергея Макеева;55.76160;37.54914;адрес;квартиры;218;;строится;2026;1090400;да;да;;kvadroom.ru, realty.vbr.ru, coords approx
Прайм Парк (Prime Park);Optima Development;премиум;премиум;;;САО;Хорошёвский;Ленинградский проспект, вл. 37;55.79152;37.54597;адрес;квартиры;;;строится, есть сданные;2027;710000;;;;kvadroom.ru, novostroev.ru, coords approx
Веспер Кутузовский (Vesper Кутузовский);Vesper;премиум;премиум;;;ЗАО;Дорогомилово;Кутузовский проспект;55.74187;37.52966;адрес;квартиры;82;;строится;2028;1403000;;;;kvadroom.ru, realty.vbr.ru, coords approx
Виктори Парк Резиденсез (Victory Park Residences);ANT Development;премиум;премиум;;;ЗАО;Дорогомилово;район Поклонной горы;55.73752;37.51845;адрес;квартиры;482;712;сдан, есть остатки;сдан;1611900;27;да;;kvadroom.ru, coords approx
Wellton Spa Residence;Концерн КРОСТ;премиум;премиум;;;СЗАО;Хорошёво-Мнёвники;ул. Маршала Жукова;55.77700;37.46700;квартал (каталог);апартаменты;62;;сдан, есть остатки;2023;900000;;;;kvadroom.ru, Метриум, coords approx
Дом Горизонтов;Touch;премиум;премиум;;;ЗАО;Крылатское;Осенний бульвар;55.75928;37.40921;адрес;квартиры;142;;строится;2027;673500;да;да;;kvadroom.ru, realty.vbr.ru, coords approx
Ahead (Эхэд);Vos'hod;премиум;премиум;;;ЗАО;Филёвский Парк;район метро Филёвский парк;55.76406;37.48740;адрес;апартаменты;62;;строится;2026;667000;да;да;;kvadroom.ru, coords approx
Форум (Forum);MR Group;премиум;премиум;;;ЦАО;Мещанский;Садовая-Сухаревская ул., вл. 14;55.77301;37.62740;адрес;квартиры;46;77;строится;2026;1910000;2;да;;kvadroom.ru, coords approx
Дом Франка;Трансстройинвест;премиум;премиум;;;ЦАО;Мещанский;Мещанский переулок;55.79371;37.63630;адрес;квартиры;147;;строится;2026;1581900;да;да;;kvadroom.ru, coords approx
Слава (Slava);MR Group;элитный;премиум (Метриум), элит (kvadroom);да;;САО;Беговой;Ленинградский проспект, вл. 8;55.78662;37.55950;адрес;квартиры;;;строится;2027;838900;;;;kvadroom.ru, realty.vbr.ru, coords approx
Бадаевский;Capital Group;элитный;премиум/элит / элитный;да;;ЗАО;Дорогомилово;Кутузовский проспект, 12;55.74889;37.55715;адрес;квартиры;871;;строится;2027;1406000;;;https://capitalgroup.ru;kvadroom.ru, realty.vbr.ru, coords approx
Эра (Era);ТЕКТА ГРУПП;элитный;премиум (Метриум), элит (kvadroom);да;цена не бьётся с классом;ЮАО;Даниловский;Дербеневская набережная;55.72227;37.65143;адрес;квартиры;;;строится, есть сданные;2026-2029;545200;;;;kvadroom.ru, Метриум, anwin.ru, coords approx
Шифт (SHIFT);ГК Пионер;элитный;премиум/элит;да;;ЮАО;Донской;2-й Донской проезд, 10;55.71137;37.59165;адрес;квартиры;;;строится;2028;835300;;;;kvadroom.ru, realty.vbr.ru, coords approx
Тишинский бульвар;Sminex;элитный;премиум/элит / элитный;да;;ЦАО;Пресненский;Электрический переулок, Тишинский бульвар;55.77230;37.57596;адрес;квартиры;220;;строится;2027-2028;1240800;да;да;https://www.sminex.com;kvadroom.ru, novostroev.ru, coords approx
