slug;check;answer;value;source;checked
dom-xxii;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/53713;23.09.2026
dom-xxii;09;да;от 2 493 421 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dosflota-10;01;да;СЗАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
dosflota-10;02;да;плюсы: парк 11 м, вода 93 м (Химкинское водохранилище);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
dosflota-10;03;нет;"Сходненская (метро) — 21 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
dosflota-10;04;да;42 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dosflota-10;05;да;1.05 м/м на квартиру (44 на 42);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dosflota-10;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 0 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-kompanij-galaxy-group-408964001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
dosflota-10;07;да;сдан: ввод 11.07.2023;https://наш.дом.рф/сервисы/каталог-новостроек/объект/41662;23.09.2026
dosflota-10;08;нет;апартаменты (дом сдан): другой налог, нет постоянной регистрации;https://наш.дом.рф/сервисы/каталог-новостроек/объект/41662;23.09.2026
dosflota-10;09;да;от 475 000 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dostizhenie;01;да;СВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
dostizhenie;02;нет;магистраль 46 м (Алтуфьевское шоссе);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
dostizhenie;03;да;"Владыкино (метро) — 8 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
dostizhenie;04;нет;1214 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dostizhenie;05;нет;0.68 м/м на квартиру (830 на 1214);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dostizhenie;06;да;ЕРЗ 4 · сдано 34 дома за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/sminex-4354668001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
dostizhenie;07;да;сдан: ввод 03.02.2025;https://наш.дом.рф/сервисы/каталог-новостроек/объект/38823;23.09.2026
dostizhenie;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/38823;23.09.2026
dostizhenie;09;да;от 640 400 ₽/м²;каталоги (база 14.09);23.09.2026
dream-towers;01;да;ЮАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
dream-towers;02;нет;промзона 135 м (Филиал Южный ГУП «Мосгортранс»);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
dream-towers;03;нет;"Технопарк (метро) — 23 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
dream-towers;04;да;471 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dream-towers;05;нет;0.48 м/м на квартиру (228 на 471);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
dream-towers;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 1 дом за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/transportno-peresadochnyj-uzel-tekhnopark-specializirovannyj-zastrojshhik-18537238001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
dream-towers;07;да;сдан: ввод 22.12.2023;https://наш.дом.рф/сервисы/каталог-новостроек/объект/41549;23.09.2026
dream-towers;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/41549;23.09.2026
dream-towers;09;да;от 483 500 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
drim-riva;01;нет;за Третьим кольцом;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
drim-riva;02;да;плюсы: парк 0 м, вода 308 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
drim-riva;03;да;"Мнёвники (метро) — 5 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
drim-riva;04;нет;790 квартир;каталоги и декларации (база 14.09);23.09.2026
drim-riva;05;нет;0.46 м/м на квартиру (363 на 790);каталоги и декларации (база 14.09);23.09.2026
drim-riva;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 1 дом за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/regions-development-21281696001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
drim-riva;07;нет данных;строится: карточка проверки ЕИСЖС недоступна (блокировка сайта при выгрузке) · ввод по каталогу 30.09.2027;https://наш.дом.рф/сервисы/каталог-новостроек/объект/64096;23.09.2026
drim-riva;08;да;квартиры · эскроу есть (каталог наш.дом.рф) · разрешение на строительство и документы на участок не проверены: карточка проверки ЕИСЖС не получена (сайт заблокировал выгрузку);https://наш.дом.рф/сервисы/каталог-новостроек/объект/64096;23.09.2026
drim-riva;09;нет;от 565 600 ₽/м²;каталоги (база 14.09);23.09.2026
dubrovka-ot-granel;01;да;ЮВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
dubrovka-ot-granel;02;да;плюсы: парк 59 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
dubrovka-ot-granel;03;да;"Дубровка (метро) — 6 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
dubrovka-ot-granel;04;нет;932 квартир;каталоги и декларации (база 14.09);23.09.2026
dubrovka-ot-granel;05;нет;0.23 м/м на квартиру (211 на 932);каталоги и декларации (база 14.09);23.09.2026
dubrovka-ot-granel;06;да;ЕРЗ 5 · сдано 40 домов за 3 года (Москва и МО) · остановок нет · банкротств у застройщика дома нет (в группе — 3: см. zastroyshchiki.csv);ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-kompanij-granel-955386001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
dubrovka-ot-granel;07;да;ввод: III кв. 2028 ⟶ III кв. 2028 (без переноса) · готовность по графику декларации 0% · строится 1 из 2 корпусов, 1 сдано;https://наш.дом.рф/сервисы/каталог-новостроек/объект/65465 (+ ещё 1 объект: 45349);23.09.2026
dubrovka-ot-granel;08;да;квартиры · эскроу есть (Сбербанк) · разрешение на строительство действует до 28.09.2028 · участок: собственность;https://наш.дом.рф/сервисы/каталог-новостроек/объект/65465 (+ ещё 1 объект: 45349);23.09.2026
dubrovka-ot-granel;09;да;от 521 400 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
duo;01;да;ЦАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
duo;02;да;плюсы: парк 250 м (Репинский сквер), вода 124 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
duo;03;да;"Новокузнецкая (метро) — 14 мин; школа с отметкой NOTA — Лицей НИУ ВШЭ, 1512 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
duo;04;да;49 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
duo;05;нет;0.90 м/м на квартиру (44 на 49);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
duo;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 1 дом за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/hutton-development-10049296001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
duo;07;нет данных;строится: карточка проверки ЕИСЖС недоступна (блокировка сайта при выгрузке) · ввод по каталогу 31.03.2028;https://наш.дом.рф/сервисы/каталог-новостроек/объект/51091;23.09.2026
duo;08;да;квартиры · эскроу есть (каталог наш.дом.рф) · разрешение на строительство и документы на участок не проверены: карточка проверки ЕИСЖС не получена (сайт заблокировал выгрузку);https://наш.дом.рф/сервисы/каталог-новостроек/объект/51091;23.09.2026
duo;09;да;от 2 492 000 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
eden;01;да;ЦАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
eden;02;да;плюсы: парк 373 м (Гоголевский бульвар);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
eden;03;да;"Арбатская (метро) — 7 мин; школа с отметкой NOTA — Школа № 2123 им. Мигеля Эрнандеса, 948 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
eden;04;да;22 квартир;каталоги и декларации (база 14.09);23.09.2026
eden;05;нет данных;;;23.09.2026
eden;06;нет данных;ЕРЗ: застройщика нет в рейтинге · сдано 0 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
eden;07;да;ввод: III кв. 2029 ⟶ III кв. 2029 (без переноса) · готовность по графику декларации 0% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/69178;23.09.2026
eden;08;да;квартиры · эскроу есть (Альфа-банк) · разрешение на строительство действует до 11.11.2029 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/69178;23.09.2026
eden;09;нет данных;;;23.09.2026
eli-estate;01;не применяется;Рублёвка;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
eli-estate;02;нет данных;;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
eli-estate;03;нет;"станции в 30 минутах пешком нет; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
eli-estate;04;нет данных;;каталоги и декларации (база 14.09);23.09.2026
eli-estate;05;нет данных;;;23.09.2026
eli-estate;06;нет данных;ЕРЗ: застройщика нет в рейтинге · сданные дома за 3 года: нет данных · остановок нет · банкротства: юрлицо не установлено;ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов;23.09.2026
eli-estate;07;нет данных;коттеджный посёлок (строится): проектной декларации нет — сроки по декларации не проверить;каталог новостроек наш.дом.рф (Москва и МО, выгрузка 23.09.2026): объект не найден;23.09.2026
eli-estate;08;не применяется;коттеджный посёлок (ИЖС): 214-ФЗ и эскроу не применяются, проектной декларации нет · строится;каталог новостроек наш.дом.рф (Москва и МО, выгрузка 23.09.2026): объект не найден;23.09.2026
eli-estate;09;нет данных;;;23.09.2026
emoushen;01;да;СЗАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
emoushen;02;нет;промзона 8 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
emoushen;03;да;"Звенигородская (метро) — 14 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
emoushen;04;да;551 квартир;каталоги и декларации (база 14.09);23.09.2026
emoushen;05;нет;0.69 м/м на квартиру (380 на 551);каталоги и декларации (база 14.09);23.09.2026
emoushen;06;да;ЕРЗ 4 · сдано 10 домов за 3 года (Москва и МО) · остановок нет · банкротств у застройщика дома нет (в группе — 1: см. zastroyshchiki.csv);ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-kompanij-osnova-6201034001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
emoushen;07;да;ввод: II кв. 2027 ⟶ II кв. 2027 (без переноса) · готовность по графику декларации 60% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/53464;23.09.2026
emoushen;08;нет;апартаменты · другой налог, нет постоянной регистрации · эскроу есть (Сбербанк) · разрешение на строительство действует до 27.07.2027 · участок: собственность;https://наш.дом.рф/сервисы/каталог-новостроек/объект/53464;23.09.2026
emoushen;09;да;от 401 400 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
enigmiya;01;да;ЦАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
enigmiya;02;да;плюсы: парк 267 м (Сад Аквариум);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
enigmiya;03;да;"Тверская (метро) — 7 мин; школа с отметкой NOTA — Лицей НИУ ВШЭ, 1359 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
enigmiya;04;нет данных;;каталоги и декларации (база 14.09);23.09.2026
enigmiya;05;нет данных;;;23.09.2026
enigmiya;06;да;ЕРЗ 5 · сдано 3 дома за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/upside-development-2893990001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
enigmiya;07;да;ввод: IV кв. 2028 ⟶ IV кв. 2028 (без переноса) · готовность по графику декларации 0% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/69962;23.09.2026
enigmiya;08;да;квартиры · эскроу есть (Сбербанк) · разрешение на строительство действует до 26.12.2030 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/69962;23.09.2026
enigmiya;09;да;от 1 359 400 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
eniteo;01;да;ЮЗАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
eniteo;02;да;плюсы: парк 61 м, вода 160 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
eniteo;03;нет;"Профсоюзная (метро) — 25 мин; школа с отметкой NOTA — Академическая школа № 1534, 1487 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
eniteo;04;нет данных;;;23.09.2026
eniteo;05;нет данных;;;23.09.2026
eniteo;06;да;ЕРЗ 4 · сдано 5 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/tekta-group-1390311001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
eniteo;07;да;сдан: ввод 25.12.2023;https://наш.дом.рф/сервисы/каталог-новостроек/объект/37487;23.09.2026
eniteo;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/37487;23.09.2026
eniteo;09;да;от 590 600 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
era;01;да;внутри Третьего кольца;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
era;02;да;плюсы: вода 230 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
era;03;нет;"Дербеневская (МЦК/МЦД/ж/д) — 18 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
era;04;нет;2048 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
era;05;нет;0.36 м/м на квартиру (728 на 2048);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
era;06;да;ЕРЗ 4 · сдано 5 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/tekta-group-1390311001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
era;07;да;ввод: II кв. 2029 ⟶ II кв. 2029 (без переноса) · готовность по графику декларации 0% · строится 1 из 2 корпусов, 1 сдано · передача ключей 30.10.2029 ⟶ 01.04.2030;https://наш.дом.рф/сервисы/каталог-новостроек/объект/62125 (+ ещё 1 объект: 50651);23.09.2026
era;08;да;квартиры · эскроу есть (Сбербанк) · разрешение на строительство действует до 30.06.2029 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/62125 (+ ещё 1 объект: 50651);23.09.2026
era;09;нет;от 611 613 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
ever;01;да;ЮЗАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
ever;02;нет;промзона 18 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
ever;03;да;"Воронцовская (метро) — 9 мин; школа с отметкой NOTA — Школа № 1514, 991 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
ever;04;нет данных;;;23.09.2026
ever;05;нет данных;;;23.09.2026
ever;06;да;ЕРЗ 4 · сдано 5 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/tekta-group-1390311001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
ever;07;да;сдан: ввод 09.10.2023;https://наш.дом.рф/сервисы/каталог-новостроек/объект/39040;23.09.2026
ever;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/39040;23.09.2026
ever;09;да;от 584 800 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
evopark-izmaylovo;01;да;ВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
evopark-izmaylovo;02;да;плюсы: парк 262 м, вода 440 м (Владимирский пруд);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
evopark-izmaylovo;03;нет;"Шоссе Энтузиастов (метро) — 21 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
evopark-izmaylovo;04;да;289 квартир;каталоги и декларации (база 14.09);23.09.2026
evopark-izmaylovo;05;нет;0.17 м/м на квартиру (49 на 289);каталоги и декларации (база 14.09);23.09.2026
evopark-izmaylovo;06;да;ЕРЗ 4 · сдано 10 домов за 3 года (Москва и МО) · остановок нет · банкротств у застройщика дома нет (в группе — 1: см. zastroyshchiki.csv);ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-kompanij-osnova-6201034001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
evopark-izmaylovo;07;нет;ввод: IV кв. 2025 ⟶ IV кв. 2026 (+12 мес.) · готовность по графику декларации 80% · строится · передача ключей 30.04.2026 ⟶ 30.11.2026;https://наш.дом.рф/сервисы/каталог-новостроек/объект/58201;23.09.2026
evopark-izmaylovo;08;нет;апартаменты · другой налог, нет постоянной регистрации · эскроу есть (Сбербанк) · разрешение на строительство действует до 31.12.2026 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/58201;23.09.2026
evopark-izmaylovo;09;да;от 329 400 ₽/м²;каталоги (база 14.09);23.09.2026
evopark-sokolniki;01;да;ВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
evopark-sokolniki;02;да;плюсы: парк 13 м, вода 212 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
evopark-sokolniki;03;да;"Преображенская площадь (метро) — 14 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
evopark-sokolniki;04;да;555 квартир;каталоги и декларации (база 14.09);23.09.2026
evopark-sokolniki;05;нет;0.19 м/м на квартиру (106 на 555);каталоги и декларации (база 14.09);23.09.2026
evopark-sokolniki;06;да;ЕРЗ 4 · сдано 10 домов за 3 года (Москва и МО) · остановок нет · банкротств у застройщика дома нет (в группе — 1: см. zastroyshchiki.csv);ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-kompanij-osnova-6201034001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
evopark-sokolniki;07;да;ввод: II кв. 2026 ⟶ IV кв. 2026 (+6 мес.) · готовность по графику декларации 80% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/57919;23.09.2026
evopark-sokolniki;08;нет;апартаменты · другой налог, нет постоянной регистрации · эскроу есть (Сбербанк) · разрешение на строительство действует до 30.05.2027 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/57919;23.09.2026
evopark-sokolniki;09;да;от 376 300 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
famous;01;нет;за Третьим кольцом;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
famous;02;да;плюсы: парк 418 м (Детский парк Фили);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
famous;03;да;"Фили (метро) — 9 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
famous;04;да;81 квартир;каталоги и декларации (база 14.09);23.09.2026
famous;05;нет данных;;;23.09.2026
famous;06;да;ЕРЗ 5 · сдано 13 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/mr-group-430836001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
famous;07;да;сдан: ввод 26.12.2025;https://наш.дом.рф/сервисы/каталог-новостроек/объект/39481;23.09.2026
famous;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/39481;23.09.2026
famous;09;да;от 627 480 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
fantom;01;да;внутри Третьего кольца;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
fantom;02;да;ТЭЦ, промзон и крупных магистралей в 150 м нет;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
fantom;03;да;"Сухаревская (метро) — 7 мин; школа с отметкой NOTA — Школа № 2107, 1107 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
fantom;04;да;105 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
fantom;05;нет;1.27 м/м на квартиру (133 на 105);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
fantom;06;нет данных;ЕРЗ: застройщика нет в рейтинге · сдано 0 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
fantom;07;да;ввод: первая версия декларации не раскрыта ⟶ III кв. 2027 · готовность по графику декларации 0% · строится 2 из 2 корпусов (показан корпус с наибольшим сдвигом);https://наш.дом.рф/сервисы/каталог-новостроек/объект/65478 (+ ещё 1 объект: 59212);23.09.2026
fantom;08;да;квартиры · эскроу есть (Альфа-банк) · разрешение на строительство действует до 04.03.2028 · участок: собственность · не опубликовано: проект ДДУ;https://наш.дом.рф/сервисы/каталог-новостроек/объект/65478 (+ ещё 1 объект: 59212);23.09.2026
fantom;09;да;от 1 600 000 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
fenomen-goroda;01;да;ЗАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
fenomen-goroda;02;да;"плюсы: парк 30 м (Природный заказник ""Долина реки Сетунь"")";"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
